Weight,Measurement
0.027039949114824356,C Osteoporosis Management in Women who had a Fracture
0.02527450134872629,C Rheumatoid Arthritis Management
0.02231341374282398,D Members Choosing to Leave the Plan
0.018856959507036974,D Appeals Upheld
0.0185580470284319,C Reviewing Appeals Decisions
0.017216119381393977,C Osteoporosis Management in Women who had a Fracture Non-numeric_Numeric
0.015732643930078432,D Getting Needed Prescription Drugs
0.01521858061400955,DD3: Member Experience with the Drug Plan
0.015171489728994788,HD5: Health Plan Customer Service
0.01516747825831993,C Care Coordination
0.01471469024099714,C Reducing the Risk of Falling
0.014647503353771006,D Rating of Drug Plan
0.01389647664037126,Part C Summary
0.013638023392660247,C Rheumatoid Arthritis Management Non-numeric_Numeric
0.013556932388755726,Part D Summary
0.01354221403497496,C Improving or Maintaining Physical Health
0.013476855655019975,C Improving or Maintaining Mental Health
0.013422976788259176,C Members Choosing to Leave the Plan
0.012823033044872579,D Complaints about the Drug Plan
0.012819535233503017,D Call Center – Foreign Language Interpreter and TTY Availability
0.012655243767336547,C Health Plan Quality Improvement
0.012591110760372108,C Annual Flu Vaccine
0.012518707382443279,C Getting Needed Care
0.012443218723542995,C Getting Appointments and Care Quickly
0.012407466152364864,D Drug Plan Quality Improvement
0.012358430887407556,C Rating of Health Care Quality
0.012291550391311476,C Diabetes Care – Kidney Disease Monitoring
0.0121882886083835,Overall
0.011822729211034829,C Plan Makes Timely Decisions about Appeals
0.011391935449723533,C Plan All-Cause Readmissions
0.011188795616288853,DD1: Drug Plan Customer Service
0.011171652522791379,D High Risk Medication
0.011042903428764865,D MTM Program Completion Rate for CMR
0.010979040200689806,Year
0.010729942066537506,HD5: Health Plan Customer Service Non-numeric_Numeric
0.010714745587373118,C Diabetes Care – Blood Sugar Controlled
0.01070997303692349,C Rating of Health Plan
0.01066489600879041,C Customer Service
0.010286994362349375,C Monitoring Physical Activity
0.010019454046150816,D Appeals Auto–Forward
0.009942747948484475,HD3: Member Experience with Health Plan
0.009748659847079627,C Call Center – Foreign Language Interpreter and TTY Availability
0.009578116134765243,D Medication Adherence for Cholesterol (Statins)
0.00956226141995754,C Complaints about the Health Plan
0.009542715429707407,D Members Choosing to Leave the Plan Non-numeric_Numeric
0.009391127913610213,C Colorectal Cancer Screening
0.009318759438920484,C Diabetes Care – Eye Exam
0.009237501439606893,"HD1: Staying Healthy: Screenings, Tests and Vaccines"
0.009224054885804793,C Improving Bladder Control
0.00915361479148736,D Medication Adherence for Hypertension (RAS antagonists)
0.009086235787537027,D MPF Price Accuracy
0.009003216699041377,C Controlling Blood Pressure
0.008561534682618622,D Medication Adherence for Diabetes Medications
0.008434731569072693,DD2: Member Complaints and Changes in the Drug Plan’s Performance
0.008300804496463345,C Breast Cancer Screening
0.008299804149704961,C Adult BMI Assessment
0.008296717307086103,D Beneficiary Access and Performance Problems
0.008294934817295473,HD2: Managing Chronic (Long Term) Conditions
0.007716029986026164,C Osteoporosis Management in Women who had a Fracture Non-numeric_Not enough data available
0.007612681860113246,C Plan Makes Timely Decisions about Appeals Non-numeric_Numeric
0.007480669978809508,C Rheumatoid Arthritis Management Non-numeric_Not enough data available
0.00741858852616166,DD4: Drug Safety and Accuracy of Drug Pricing
0.00684351161975066,C Beneficiary Access and Performance Problems
0.006528214341913583,D Appeals Upheld Non-numeric_Not enough data available
0.00647423009306033,C Medication Reconciliation Post-Discharge
0.006327219096592181,C Improving or Maintaining Physical Health Non-numeric_Numeric
0.006260285422442996,D Appeals Upheld Non-numeric_Numeric
0.006190194196146075,C Reviewing Appeals Decisions Non-numeric_Numeric
0.0057814423354008715,HD4: Member Complaints and Changes in the Health Plan's Performance
0.005420319908059611,D Statin Use in Persons with Diabetes (SUPD)
0.005342937912933061,C Special Needs Plan (SNP) Care Management
0.0053291104609455705,C Care for Older Adults – Functional Status Assessment
0.004991617128828313,D Diabetes Treatment
0.004767318647313142,C Statin Therapy for Patients with Cardiovascular Disease
0.004481702769234813,C Care for Older Adults – Medication Review
0.004295700651994403,D Medication Adherence for Diabetes Medications 
0.004217904006749197,D Medication Adherence for Cholesterol (Statins) 
0.004213395572200399,D Medication Adherence for Hypertension (RAS antagonists) 
0.003925843132893959,C Diabetes Care – Cholesterol Controlled
0.0038887689171446405,C Care for Older Adults – Pain Assessment
0.0038308861356485193,DD1: Drug Plan Customer Service Non-numeric_Numeric
0.003621483258870271,C Health Plan Quality Improvement Non-numeric_Numeric
0.003514041645006324,C Diabetes Care – Cholesterol Screening
0.0034479620170041665,C Improving or Maintaining Mental Health Non-numeric_Numeric
0.0032686586018145234,C Rating of Health Care Quality Non-numeric_Numeric
0.0032468108731504475,C Cardiovascular Care – Cholesterol Screening
0.002542713239258584,DD3: Member Experience with the Drug Plan Non-numeric_Numeric
0.0025298622759677273,HD2: Managing Chronic (Long Term) Conditions Non-numeric_Numeric
0.002518899198412844,HD3: Member Experience with Health Plan Non-numeric_Numeric
0.0025053193416133502,SNP Non-numeric_No
0.0024221800499847094,Part C Summary Non-numeric_Numeric
0.0023875139263834517,SNP Non-numeric_Numeric
0.002377111974568285,SNP
0.0022595239103517495,C Customer Service Non-numeric_Numeric
0.0022502865982322335,"HD1: Staying Healthy: Screenings, Tests and Vaccines Non-numeric_Numeric"
0.0021941749007370385,HD5: Health Plan Customer Service Non-numeric_Not enough data available
0.0021684527956428628,C Glaucoma Testing
0.0021042518330487547,"DD2: Member Complaints, Problems Getting Services, and Improvement in the Drug Plan’s Performance "
0.0020586199891247385,"HD4: Member Complaints, Problems Getting Services, and Improvement in the Health Plan's Performance"
0.0020528987975421487,C Care for Older Adults – Functional Status Assessment Non-numeric_Plan not required to report measure
0.0020488649091551132,C Reviewing Appeals Decisions Non-numeric_Not enough data available
0.0020428102721797583,C Care for Older Adults – Pain Assessment Non-numeric_Plan not required to report measure
0.0020127905452574433,C Care for Older Adults – Medication Review Non-numeric_Plan not required to report measure
0.0019380301133532717,C Special Needs Plan (SNP) Care Management Non-numeric_Plan not required to report measure
0.0019170838596703575,C Special Needs Plan (SNP) Care Management Non-numeric_Numeric
0.0019061425487210018,C Plan Makes Timely Decisions about Appeals Non-numeric_Not enough data available
0.0017884767203588323,C Getting Needed Care Non-numeric_Numeric
0.0017572413278577933,C Care for Older Adults – Functional Status Assessment Non-numeric_Numeric
0.0017324797472539656,DD1: Drug Plan Customer Service Non-numeric_Not enough data available
0.0017243323266284915,C Care for Older Adults – Medication Review Non-numeric_Numeric
0.001696643982681483,DD4: Patient Safety and Accuracy of Drug Pricing
0.0016952163656747817,D Complaints about the Drug Plan Non-numeric_Numeric
0.0016374459043597932,C Care for Older Adults – Pain Assessment Non-numeric_Numeric
0.0016139321386516802,C Improving Bladder Control Non-numeric_Numeric
0.0015505260533594629,C Improving Bladder Control Non-numeric_Not enough data available
0.001511557790734968,D Members Choosing to Leave the Plan Non-numeric_Not enough data available
0.001494797948561429,C Reducing the Risk of Falling Non-numeric_Numeric
0.0014794020226702855,Overall Non-numeric_Numeric
0.0014560247264134535,D Rating of Drug Plan Non-numeric_Numeric
0.001349184866770718,D Getting Needed Prescription Drugs Non-numeric_Numeric
0.0012913225301976617,C Getting Appointments and Care Quickly Non-numeric_Numeric
0.0012824124808340114,C Members Choosing to Leave the Plan Non-numeric_Numeric
0.0012676907099565412,C Improving or Maintaining Physical Health Non-numeric_Plan too new to be measured
0.0012326808131130568,D Call Center – Foreign Language Interpreter and TTY Availability Non-numeric_Numeric
0.001220102674789404,C Controlling Blood Pressure Non-numeric_Numeric
0.001195172396480765,D Appeals Auto–Forward Non-numeric_Numeric
0.0011493808444763005,C Monitoring Physical Activity Non-numeric_Numeric
0.0011296106420573798,D Call Center – Foreign Language Interpreter and TTY Availability Non-numeric_Not enough data available
0.001126752478324648,C Care for Older Adults – Pain Screening
0.0011052004534100276,C Improving or Maintaining Mental Health Non-numeric_Plan too new to be measured
0.0010374737584012464,C Complaints about the Health Plan Non-numeric_Numeric
0.0010335194437655175,C Care Coordination Non-numeric_Numeric
0.0010028678930487694,C Reducing the Risk of Falling Non-numeric_Not enough data available
0.0009720056550284477,DD3: Member Experience with the Drug Plan Non-numeric_Not enough data available
0.0008992910622386514,D Drug Plan Quality Improvement Non-numeric_Numeric
0.0008842054224343923,C Monitoring Physical Activity Non-numeric_Plan too new to be measured
0.0008837598440351505,D MPF Price Accuracy Non-numeric_Numeric
0.0008677592762251363,C Care for Older Adults – Pain Screening Non-numeric_Plan not required to report measure
0.0008662056117099661,C Call Center – Foreign Language Interpreter and TTY Availability Non-numeric_Numeric
0.0008539577518953499,C Rating of Health Plan Non-numeric_Numeric
0.0008428073205732734,C Health Plan Quality Improvement Non-numeric_Not enough data available
0.0008193684776703638,C Customer Service Non-numeric_Not enough data available
0.0008025089345789364,C Care for Older Adults – Pain Screening Non-numeric_Numeric
0.000801537984138869,C Medication Reconciliation Post-Discharge Non-numeric_Numeric
0.0007994382799235987,C Controlling Blood Pressure Non-numeric_Plan not required to report measure
