CY2015 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organizatoin Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring of Patients Taking Long-term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Call Center – Beneficiary Hold Time - DMC09,Pneumonia Vaccine - DMC10,Access to Primary Care Doctor Visits - DMC11,Calls Disconnected When Customer Calls Health Plan - DMC12,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC13,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC14,Initiation of Alcohol or other Drug Treatment - DMC15,Engagement of Alcohol or other Drug Treatment - DMC16,Reminders for Appointments - DMC17,Reminders for Immunizations - DMC18,Reminders for Screening Tests - DMC19,Computer Used during Office Visits - DMC20,Computer Use by Doctor Helpful - DMC21,Computer Use Made Talking with Doctor Easier - DMC22,Improving Bladder Control - DMC23,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Diabetes Medication Dosing - DMD06,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD07,MPF – Stability - DMD08,Rate of Chronic Use of Atypical Antipsychotics by Elderly Beneficiaries in Nursing Homes - DMD09,Getting Information from Drug Plan - DMD10,Call Center – Pharmacy Hold Time - DMD11,Plan Submitted Higher Prices for Display on MPF - DMD12,Transition monitoring - failure rate for drugs within classes of clinical concern - DMD13,Transition monitoring - failure rate for all other drugs - DMD14,Reminders to Fill prescriptions - DMD15,Reminders to Take Medications - DMD16,Enrollment Timeliness - DME01,Grievance Rate - DME02,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME03","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME04","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME05","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME06","Disenrollment Reasons - Problems Getting Information about Prescription Drugs (MA-PD, PDP) - DME07"
E0654,TEAMStar Medicare Part D Prescription Drug Program,IBT VOLUNTARY EMPLOYEE BENEFITS TRUST,IBT Voluntary Employee Benefits Trust,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,75%,100.00%,No data available,No data available,6.5%,0.26%,No data available,No data available,17.07%,81%,No data available,No data available,No data available,No data available,33%,15%,No data available,0.34,No data available,No data available,No data available,No data available,No data available
E2630,C and O Employees Hospital Association,C AND O EMPLOYEES' HOSPITAL ASSOCIATION,C & O Employees' Hospital Association,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100%,100.00%,No data available,No data available,8.6%,1.32%,No data available,No data available,25.64%,87%,No data available,No data available,No data available,No data available,25%,17%,No data available,0.22,No data available,No data available,No data available,No data available,No data available
E3014,Pennsylvania Public School Employees Retirement Sy,PSERS HOP PROGRAM,Commonwealth of PA Pub Schools Retirement System,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,91%,87.50%,No data available,No data available,6.2%,1.45%,No data available,No data available,14.75%,85%,No data available,No data available,No data available,No data available,40%,10%,No data available,CMS Found Issues with Plan's Data,No data available,No data available,No data available,No data available,No data available
E4744,MISSOURI DEPARTMENT OF TRANSPORTATION,MODOT/MSHP MEDICAL AND LIFE INSURANCE PLAN,Missouri Highways and Transportation Commission,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,89%,100.00%,No data available,No data available,7.0%,1.53%,No data available,No data available,18.99%,82%,No data available,No data available,No data available,No data available,19%,10%,No data available,0.22,No data available,No data available,No data available,No data available,No data available
E7316,Union Pacific Railroad  Employes Health Systems,UNION PACIFIC RAILROAD EMPLOYES HEALTH SYSTEMS,Union Pacific Railroad Employes Health Systems,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100%,No data available,No data available,No data available,6.3%,0.87%,No data available,No data available,20.13%,85%,No data available,No data available,No data available,No data available,12%,11%,No data available,0.47,No data available,No data available,No data available,No data available,No data available
E7848,HealthChoice,OMES EMPLOYEES GROUP INSURANCE DIVISION,State of Oklahoma,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100%,No data available,No data available,No data available,8.9%,0.99%,No data available,No data available,17.32%,74%,No data available,No data available,No data available,No data available,19%,11%,No data available,CMS Found Issues with Plan's Data,No data available,No data available,No data available,No data available,No data available
H0022,Buckeye Health Plan - MyCare Ohio,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Centene Corporation,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,0:03,61%,No data available,0.00%,No data available,No data available,No data available,No data available,50%,35%,37%,84%,Plan too new to be measured,58%,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0028,"CHA HMO, Inc.","CHA HMO, INC.",Humana Inc.,Not enough data available,93%,61%,Not enough data available,90%,75%,Not enough data available,Not enough data available,0:26,77%,95%,0.58%,Not enough data available,Not enough data available,55%,4%,Not enough data available,56%,50%,91%,Not enough data available,Not enough data available,32%,100%,No data available,0.58%,0:26,4.3%,0.59%,100%,99,No data available,Not enough data available,0:03,99,No data available,No data available,47%,27%,96%,CMS Found Issues with Plan's Data,19%,22%,19%,5%,11%
H0084,Care Improvement Plus,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,"UnitedHealth Group, Inc.",52%,91%,54%,86%,89%,63%,19%,91%,0:09,73%,95%,1.57%,69%,73%,32%,3%,58%,46%,36%,82%,Not enough data available,49%,27%,100%,No data available,1.57%,0:09,6.1%,1.32%,No data available,98,19.59%,Not enough data available,0:04,98,0.0%,0.0%,47%,20%,97%,2.62,15%,21%,27%,12%,12%
H0104,Blue Advantage (PPO),BLUE CROSS AND BLUE SHIELD OF ALABAMA,BlueCross BlueShield of Alabama,46%,95%,55%,90%,93%,80%,34%,91%,0:11,68%,97%,0.98%,70%,67%,17%,1%,58%,49%,40%,73%,Not enough data available,49%,37%,91%,100.00%,0.98%,0:11,6.3%,0.28%,100%,99,20.00%,Not enough data available,0:02,97,0.0%,0.0%,27%,12%,94%,CMS Found Issues with Plan's Data,10%,3%,37%,13%,7%
