2017 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organizatoin Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Appropriate Monitoring of Patients Taking Long-term Medications - DMC04,Osteoporosis Testing - DMC05,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC06,Doctors who Communicate Well - DMC07,Call Center – Beneficiary Hold Time - DMC08,Pneumonia Vaccine - DMC09,Access to Primary Care Doctor Visits - DMC10,Calls Disconnected When Customer Calls Health Plan  - DMC11,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC12,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC13,Initiation of Alcohol or other Drug Treatment - DMC14,Engagement of Alcohol or other Drug Treatment - DMC15,Reminders for Appointments - DMC16,Reminders for Immunizations - DMC17,Reminders for Screening Tests - DMC18,Computer Used during Office Visits - DMC19,Computer Use by Doctor Helpful - DMC20,Computer Use Made Talking with Doctor Easier - DMC21,Improving Bladder Control - DMC22,Medication Reconciliation Post Discharge - DMC23,Hospitalization for Potentially Preventable Complications - DMC24,Statin Therapy for Patients with Cardiovascular Disease - DMC25,Medication Management for People With Asthma - DMC26,Asthma Medication Ratio - DMC27,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Calls Disconnected When Customer Calls Drug Plan  - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Diabetes Medication Dosing - DMD06,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD07,MPF – Stability - DMD08,Rate of Chronic Use of Atypical Antipsychotics by Elderly Beneficiaries in Nursing Homes - DMD09,Getting Information from Drug Plan - DMD10,Call Center – Pharmacy Hold Time - DMD11,Plan Submitted Higher Prices for Display on MPF - DMD12,Transition monitoring - failure rate for drugs within classes of clinical concern - DMD13,Transition monitoring - failure rate for all other drugs - DMD14,Reminders to Fill prescriptions - DMD15,Reminders to Take Medications - DMD16,Statin Use in Persons with Diabetes (SUPD) - DMD17,Enrollment Timeliness - DME01,Grievance Rate - DME02,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME03","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME04","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME05","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME06","Disenrollment Reasons - Problems Getting Information about Prescription Drugs (MA-PD, PDP) - DME07"
E0654,TEAMStar Medicare Part D Prescription Drug Program,IBT VOLUNTARY EMPLOYEE BENEFITS TRUST,IBT Voluntary Employee Benefits Trust,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,73%,100.00%,No data available,No data available,6%,0.19%,100%,No data available,21.90%,79,No data available,No data available,No data available,No data available,31,13,77%,No data available,0.44,No data available,No data available,No data available,No data available,No data available
E2630,C and O Employees Hospital Association,C AND O EMPLOYEES' HOSPITAL ASSOCIATION,C & O Employees' Hospital Association,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100%,100.00%,No data available,No data available,6%,0.67%,100%,No data available,20.00%,86,No data available,No data available,No data available,No data available,29,19,69%,No data available,0.04,No data available,No data available,No data available,No data available,No data available
E3014,Pennsylvania Public School Employees Retirement Sy,PSERS HOP PROGRAM,Commonwealth of PA Pub Schools Retirement System,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,92%,90.00%,No data available,No data available,5%,0.50%,100%,No data available,15.20%,84,No data available,No data available,No data available,No data available,38,9,75%,No data available,CMS identified issues with this plan's data,No data available,No data available,No data available,No data available,No data available
E4744,MISSOURI DEPARTMENT OF TRANSPORTATION,MODOT/MSHP MEDICAL AND LIFE INSURANCE PLAN,Missouri Highways and Transportation Commission,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,90%,100.00%,No data available,No data available,6%,1.21%,100%,No data available,18.18%,80,No data available,No data available,No data available,No data available,18,11,70%,No data available,0.29,No data available,No data available,No data available,No data available,No data available
E7316,Union Pacific Railroad  Employes Health Systems,UNION PACIFIC RAILROAD EMPLOYES HEALTH SYSTEMS,Union Pacific Railroad Employes Health Systems,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,57%,66.67%,No data available,No data available,6%,0.72%,100%,No data available,16.89%,87,No data available,No data available,No data available,No data available,13,12,71%,No data available,0.72,No data available,No data available,No data available,No data available,No data available
H0022,Buckeye Health Plan - MyCare Ohio,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Centene Corporation,32%,78%,91%,93%,No data available,Not enough data available,Not enough data available,0:15,61%,93%,0.00%,72%,89%,67%,13%,58%,54,42,94,Not enough data available,45,No data available,7%,Insufficient data,Not enough data available,Not enough data available,Not enough data available,57%,80.00%,0.00%,0:15,10%,0.14%,100%,101,19.22%,Not enough data available,0:27,98,No data available,No data available,52,40,77%,No data available,1.41,No data available,No data available,No data available,No data available,No data available
H0028,"CHA HMO, Inc.","CHA HMO, INC.",Humana Inc.,49%,60%,95%,91%,69%,39%,90%,0:57,72%,95%,2.03%,69%,83%,43%,4%,57%,50,35,85,Not enough data available,57,41%,13%,51,77%,43%,68%,100%,100.00%,2.03%,0:57,4%,0.50%,100%,100,13.04%,Not enough data available,0:04,99,0.0%,0.0%,54,28,81%,96%,CMS identified issues with this plan's data,31%,29%,11%,8%,12%
H0062,Superior HealthPlan Medicare Advantage,"SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0104,Blue Advantage (PPO),BLUE CROSS AND BLUE SHIELD OF ALABAMA,BlueCross BlueShield of Alabama,39%,54%,90%,93%,83%,36%,90%,1:24,73%,97%,0.79%,73%,71%,27%,1%,65%,45,45,74,Not enough data available,42,41%,22%,60,75%,63%,69%,90%,100.00%,0.79%,1:24,6%,0.35%,100%,100,17.24%,Not enough data available,0:03,98,0.0%,0.0%,37,15,72%,94%,0.40,12%,11%,37%,11%,9%
H0107,Blue Cross and Blue Shield of Montana,HEALTH CARE SERVICE CORPORATION,Health Care Service Corporation,Not enough data available,70%,Not enough data available,72%,80%,Not enough data available,91%,0:31,78%,94%,0.68%,74%,82%,54%,3%,53%,30,33,85,Not enough data available,48,45%,31%,Insufficient data,Not enough data available,Not enough data available,Not enough data available,67%,100.00%,0.68%,0:31,4%,0.65%,100%,101,No data available,Not enough data available,0:04,98,No data available,No data available,23,8,71%,95%,5.05,18%,10%,22%,12%,19%
