Medicare Part C Display Measures,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Breast Cancer Screening - C01,Colorectal Cancer Screening - C02,Adult BMI Assessment - C07,Care for Older Adults ñ Medication Review - C09,Care for Older Adults ñ Functional Status Assessment - C10,Care for Older Adults ñ Pain Assessment - C11,Osteoporosis Management in Women who had a Fracture - C12,Diabetes Care ñ Eye Exam - C13,Diabetes Care ñ Kidney Disease Monitoring - C14,Diabetes Care ñ Blood Sugar Controlled - C15,Controlling Blood Pressure - C16,Rheumatoid Arthritis Management - C17,Plan All-Cause Readmissions - C19
H0141,McLaren Advantage (HMO),"MCLAREN HEALTH PLAN, INC.",McLaren Health Care Corporation,Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,43%,Not enough data available,Not enough data available
H0502,Contra Costa Health Plan,THE CONTRA COSTA HEALTH PLAN,Contra Costa Health Services,82%,63%,90%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Benefit not offered by plan ,63%,92%,82%,65%,Benefit not offered by plan ,Plan not required to report measure
H0840,FamilyCare Health,"FAMILYCARE HEALTH PLANS, INC.",FamilyCare Incorporated,Not enough data available,67%,76%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,16%
H1189,CHRISTUS Health Plan Generations,CHRISTUS HEALTH PLAN,CHRISTUS Health Plan,Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H1291,Humana Insurance Company of New York,HUMANA INSURANCE COMPANY OF NEW YORK,Humana Inc.,78%,66%,94%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,52%,92%,64%,71%,Not enough data available,15%
H1587,Tribute Health Plan of Arkansas,"ARKANSAS SUPERIOR SELECT, INC.","Select Founders, LLC",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H1916,Fidelis Care,"THE NEW YORK STATE CATHOLIC HEALTH PLAN, INC.","The New York State Catholic Health Plan, Inc.",Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,65%,Not enough data available,Not enough data available
H2034,Community Care,"COMMUNITY CARE HEALTH PLAN, INC.","Community Care, Inc.",80%,51%,99%,97%,100%,100%,Not enough data available,62%,95%,60%,98%,Not enough data available,4%
H2161,Upper Peninsula Health Plan,"UPPER PENINSULA HEALTH PLAN, LLC","DLP Marquette General Hospital, LLC",Not enough data available,55%,96%,98%,84%,100%,Not enough data available,73%,92%,70%,74%,Not enough data available,17%
H2171,Care N' Care Insurance Company,"CARE N' CARE INSURANCE COMPANY, INC.",North Texas Specialty Physicians,Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0 - Plan reported a Biased Rate,Not enough data available,Not enough data available
