Medicare Part C Display Measures,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Breast Cancer Screening - C01,Colorectal Cancer Screening - C02,Adult BMI Assessment - C07,Care for Older Adults ñ Medication Review - C09,Care for Older Adults ñ Functional Status Assessment - C10,Care for Older Adults ñ Pain Assessment - C11,Osteoporosis Management in Women who had a Fracture - C12,Diabetes Care ñ Eye Exam - C13,Diabetes Care ñ Kidney Disease Monitoring - C14,Diabetes Care ñ Blood Sugar Controlled - C15,Controlling Blood Pressure - C16,Rheumatoid Arthritis Management - C17,Medication Reconciliation Post-Discharge - C20,Plan All-Cause Readmissions - C21
H0141,McLaren Advantage (HMO),"MCLAREN HEALTH PLAN, INC.",McLaren Health Care Corporation,Not enough data available,58%,95%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,58%,95%,61%,66%,Not enough data available,28%,15%
H0174,"Universal American, A WellCare Company","TODAY'S OPTIONS OF TEXAS, INC.","WellCare Health Plans, Inc.",Not enough data available,Not enough data available,Not enough data available,88%,63%,93%,Not enough data available,67%,97%,69%,65%,Not enough data available,Not enough data available,13%
H0490,Molina Healthcare of Ohio,"MOLINA HEALTHCARE OF OHIO, INC.","Molina Healthcare, Inc.,",64%,56%,96%,93%,74%,93%,Not enough data available,59%,93%,66%,65%,Not enough data available,17%,18%
H0502,Contra Costa Health Plan,THE CONTRA COSTA HEALTH PLAN,Contra Costa Health Services,73%,62%,92%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Benefit not offered by plan ,51%,80%,76%,66%,Benefit not offered by plan ,Plan not required to report measure,Plan not required to report measure
H1189,CHRISTUS Health Plan Generations,CHRISTUS HEALTH PLAN,CHRISTUS Health Plan,Not enough data available,54%,79%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,58%,94%,58%,63%,Not enough data available,Not enough data available,0%
H1394,Anthem Blue Cross and Blue Shield,"HMO COLORADO, INC.",Anthem Inc.,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,74%,91%,62%,59%,Not enough data available,36%,0%
H1493,CareSource,CARESOURCE KENTUCKY CO.,CareSource Management Group Co.,Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,62%,Not enough data available,21%,0%
H1587,Tribute Health Plan of Arkansas,"ARKANSAS SUPERIOR SELECT, INC.","Select Founders, LLC",Not enough data available,Not enough data available,Not enough data available,0 - Plan reported a Biased Rate,0 - Plan reported a Biased Rate,0 - Plan reported a Biased Rate,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0 - Plan reported a Biased Rate,Not enough data available,0 - Plan reported a Biased Rate,9%
H1916,Fidelis Care,"THE NEW YORK STATE CATHOLIC HEALTH PLAN, INC.","The New York State Catholic Health Plan, Inc.",Not enough data available,Not enough data available,Not enough data available,79%,78%,76%,Not enough data available,69%,97%,74%,48%,Not enough data available,52%,17%
H2034,Community Care,"COMMUNITY CARE HEALTH PLAN, INC.","Community Care, Inc.",70%,64%,99%,95%,99%,99%,Not enough data available,69%,94%,55%,88%,Not enough data available,88%,18%
H2161,Upper Peninsula Health Plan,"UPPER PENINSULA HEALTH PLAN, LLC","DLP Marquette General Hospital, LLC",Not enough data available,66%,96%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,90%,Not enough data available,Not enough data available,10%
H2171,Care N' Care Insurance Company,"CARE N' CARE INSURANCE COMPANY, INC.",North Texas Specialty Physicians,Not enough data available,70%,100%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,67%,95%,91%,60%,Not enough data available,48%,11%
