2018 Star View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTRACT_ID,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",,,,,,,HD2: Managing Chronic (Long Term) Conditions,,,,,,,,,,,,,,HD3: Member Experience with Health Plan,,,,,,HD4: Member Complaints and Changes in the Health Plan's Performance,,,,HD5: Health Plan Customer Service,,,DD1: Drug Plan Customer Service,,,DD2: Member Complaints and Changes in the Drug Plan’s Performance,,,,DD3: Member Experience with the Drug Plan,,DD4: Drug Safety and Accuracy of Drug Pricing,,,,
,,,,,C01: Breast Cancer Screening,C02: Colorectal Cancer Screening,C03: Annual Flu Vaccine,C04: Improving or Maintaining Physical Health,C05: Improving or Maintaining Mental Health,C06: Monitoring Physical Activity,C07: Adult BMI Assessment,C08: Special Needs Plan (SNP) Care Management,C09: Care for Older Adults – Medication Review,C10: Care for Older Adults – Functional Status Assessment,C11: Care for Older Adults – Pain Assessment,C12: Osteoporosis Management in Women who had a Fracture,C13: Diabetes Care – Eye Exam,C14: Diabetes Care – Kidney Disease Monitoring,C15: Diabetes Care – Blood Sugar Controlled,C16: Controlling Blood Pressure,C17: Rheumatoid Arthritis Management,C18: Reducing the Risk of Falling,C19: Improving Bladder Control,C20: Medication Reconciliation Post-Discharge,C21: Plan All-Cause Readmissions,C22: Getting Needed Care,C23: Getting Appointments and Care Quickly,C24: Customer Service,C25: Rating of Health Care Quality,C26: Rating of Health Plan,C27: Care Coordination,C28: Complaints about the Health Plan,C29: Members Choosing to Leave the Plan,C30: Beneficiary Access and Performance Problems,C31: Health Plan Quality Improvement,C32: Plan Makes Timely Decisions about Appeals,C33: Reviewing Appeals Decisions,C34: Call Center – Foreign Language Interpreter and TTY Availability,D01: Call Center – Foreign Language Interpreter and TTY Availability,D02: Appeals Auto–Forward,D03: Appeals Upheld,D04: Complaints about the Drug Plan,D05: Members Choosing to Leave the Plan,D06: Beneficiary Access and Performance Problems,D07: Drug Plan Quality Improvement,D08: Rating of Drug Plan,D09: Getting Needed Prescription Drugs,D10: MPF Price Accuracy,D11: Medication Adherence for Diabetes Medications,D12: Medication Adherence for Hypertension (RAS antagonists),D13: Medication Adherence for Cholesterol (Statins),D14: MTM Program Completion Rate for CMR
,,,,,01/01/2016 – 12/31/2016,01/01/2016 – 12/31/2016,03/2017 – 06/2017,04/18/2016 – 07/31/2016,04/18/2016 – 07/31/2016,04/18/2016 – 07/31/2016,01/01/2016 – 12/31/2016,01/01/2016 – 12/31/2016,01/01/2016 – 12/31/2016,01/01/2016 – 12/31/2016,01/01/2016 – 12/31/2016,01/01/2016 – 12/31/2016,01/01/2016 – 12/31/2016,01/01/2016 – 12/31/2016,01/01/2016 – 12/31/2016,01/01/2016 – 12/31/2016,01/01/2016 – 12/31/2016,04/18/2016 – 07/31/2016,04/18/2016 – 07/31/2016,01/01/2016 – 12/31/2016,01/01/2016 – 12/31/2016,03/2017 – 06/2017,03/2017 – 06/2017,03/2017 – 06/2017,03/2017 – 06/2017,03/2017 – 06/2017,03/2017 – 06/2017,01/01/2016 – 12/31/2016,01/01/2016 – 12/31/2016,01/01/2016 – 12/31/2016,Not Applicable,01/01/2016 – 12/31/2016,01/01/2016 – 12/31/2016,02/13/2017 – 06/02/2017,02/13/2017 – 06/02/2017,01/01/2016 – 12/31/2016,01/01/2016 – 12/31/2016,01/01/2016 – 12/31/2016,01/01/2016 – 12/31/2016,01/01/2016 – 12/31/2016,Not Applicable,03/2017 – 06/2017,03/2017 – 06/2017,01/01/2016 – 09/30/2016,01/01/2016 – 12/31/2016,01/01/2016 – 12/31/2016,01/01/2016 – 12/31/2016,01/01/2016 – 12/31/2016
E0654,Employer/Union Only Direct Contract PDP,Ibt Voluntary Employee Benefits Trust,TEAMStar Medicare Part D Prescription Drug Program,IBT Voluntary Employee Benefits Trust,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,5,1,5,Not enough data available,5,3,4,4,Not enough data available,3,3,3,3
E3014,Employer/Union Only Direct Contract PDP,Psers Hop Program,Pennsylvania Public School Employees Retirement Sy,Commonwealth of PA Pub Schools Retirement System,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,5,2,5,Not enough data available,5,4,5,5,Not enough data available,3,4,4,2
E4744,Employer/Union Only Direct Contract PDP,Modot/mshp Medical And Life Insurance Plan,MISSOURI DEPARTMENT OF TRANSPORTATION,Missouri Highways and Transportation Commission,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,5,Not enough data available,5,Not enough data available,4,3,4,4,Not enough data available,5,4,4,2
H0022,Demo,"Buckeye Community Health Plan, Inc.",Buckeye Health Plan - MyCare Ohio,Centene Corporation,No data available,No data available,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,Not enough data available,Not enough data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H0028,Local CCP,"Cha Hmo, Inc.","CHA HMO, Inc.",Humana Inc.,3,4,Plan too small to be measured,3,5,4,4,No data available,No data available,No data available,No data available,2,4,4,5,4,3,2,2,4,4,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,4,4,3,4,1,4,4,5,5,Not enough data available,4,4,3,5,Plan too small to be measured,Plan too small to be measured,5,4,5,4,4
H0029,Local CCP,"Coordinated Care Of Washington, Inc.",Allwell,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0062,Local CCP,"Superior Healthplan Community Solutions, Inc.",Allwell,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,4,5,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0088,Local CCP,"Wellcare Health Insurance Of New York, Inc.",WellCare,"WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
