2018 Summary Star View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Organization Marketing Name,Contract Name,Parent Organization,SNP,2018 Part C Summary,2018 Part D Summary,2018 Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0654,Employer/Union Only Direct Contract PDP,TEAMStar Medicare Part D Prescription Drug Program,Ibt Voluntary Employee Benefits Trust,IBT Voluntary Employee Benefits Trust,No,Not Applicable,3.5,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3014,Employer/Union Only Direct Contract PDP,Pennsylvania Public School Employees Retirement Sy,Psers Hop Program,Commonwealth of PA Pub Schools Retirement System,No,Not Applicable,4,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E4744,Employer/Union Only Direct Contract PDP,MISSOURI DEPARTMENT OF TRANSPORTATION,Modot/mshp Medical And Life Insurance Plan,Missouri Highways and Transportation Commission,No,Not Applicable,4.5,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0022,Demo,Buckeye Health Plan - MyCare Ohio,"Buckeye Community Health Plan, Inc.",Centene Corporation,No,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0028,Local CCP,"CHA HMO, Inc.","Cha Hmo, Inc.",Humana Inc.,Yes,3.5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0029,Local CCP,Allwell,"Coordinated Care Of Washington, Inc.",Centene Corporation,No,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0062,Local CCP,Allwell,"Superior Healthplan Community Solutions, Inc.",Centene Corporation,No,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0088,Local CCP,WellCare,"Wellcare Health Insurance Of New York, Inc.","WellCare Health Plans, Inc.",No,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0104,Local CCP,Blue Advantage (PPO),Blue Cross And Blue Shield Of Alabama,BlueCross BlueShield of Alabama,No,3.5,4,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0107,Local CCP,Blue Cross and Blue Shield of Montana,Health Care Service Corporation,Health Care Service Corporation,No,3,4,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0111,Local CCP,WellCare,"Wellcare Of Georgia, Inc.","WellCare Health Plans, Inc.",No,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0137,Demo,"Commonwealth Care Alliance, Inc.","Commonwealth Care Alliance, Inc.","Commonwealth Care Alliance, Inc.",No,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0148,Demo,Care1st Health Plan,Care1st Health Plan,California Physicians' Service,No,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0150,Local CCP,Cigna-HealthSpring,"Healthspring Of Alabama, Inc.",CIGNA,Yes,3.5,3,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0154,Local CCP,VIVA Medicare,"Viva Health, Inc.",UAB Health System,Yes,4.5,4,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0169,Local CCP,UnitedHealthcare,"Unitedhealthcare Of The Midwest, Inc.","UnitedHealth Group, Inc.",Yes,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0174,Local CCP,"Universal American, A WellCare Company","Today's Options Of Texas, Inc.","WellCare Health Plans, Inc.",Yes,Not enough data available,3,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0192,Demo,AmeriHealth Caritas VIP Care Plus,"Amerihealth Michigan, Inc.",AMHP Holdings Corp.,No,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0251,Local CCP,UnitedHealthcare,"Unitedhealthcare Plan Of The River Valley, Inc.","UnitedHealth Group, Inc.",Yes,3.5,4,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0281,Demo,IlliniCare Health,Illinicare Health Plan,Centene Corporation,No,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
