2019 Summary Star View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Organization Marketing Name,Contract Name,Parent Organization,SNP,2017 Disaster %,2019 Part C Summary,2019 Part D Summary,2019 Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0654,Employer/Union Only Direct Contract PDP,TEAMStar Medicare Part D Prescription Drug Program,Ibt Voluntary Employee Benefits Trust,IBT Voluntary Employee Benefits Trust,No,7,Not Applicable,3.5,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3014,Employer/Union Only Direct Contract PDP,Pennsylvania Public School Employees Retirement Sy,Psers Hop Program,Commonwealth of PA Pub Schools Retirement System,No,4,Not Applicable,4.5,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E4744,Employer/Union Only Direct Contract PDP,MISSOURI DEPARTMENT OF TRANSPORTATION,Modot/mshp Medical And Life Insurance Plan,Missouri Highways and Transportation Commission,No,1,Not Applicable,3,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0022,Demo,Buckeye Health Plan - MyCare Ohio,"Buckeye Community Health Plan, Inc.",Centene Corporation,No,0,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0028,Local CCP,Humana,"Cha Hmo, Inc.",Humana Inc.,Yes,0,3.5,4.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0029,Local CCP,Allwell,"Coordinated Care Of Washington, Inc.",Centene Corporation,No,0,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0062,Local CCP,Allwell,"Superior Healthplan Community Solutions, Inc.",Centene Corporation,No,1,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0088,Local CCP,WellCare,"Wellcare Health Insurance Of New York, Inc.","WellCare Health Plans, Inc.",No,0,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0104,Local CCP,Blue Advantage (PPO),Blue Cross And Blue Shield Of Alabama,BlueCross BlueShield of Alabama,No,0,3.5,4,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0107,Local CCP,Blue Cross and Blue Shield of Montana,Health Care Service Corporation,Health Care Service Corporation,No,0,3,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0111,Local CCP,WellCare,"Wellcare Of Georgia, Inc.","WellCare Health Plans, Inc.",No,0,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0137,Demo,"Commonwealth Care Alliance, Inc.","Commonwealth Care Alliance, Inc.","Commonwealth Care Alliance, Inc.",No,0,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0148,Demo,Blue Shield of California Promise Health Plan,Care1st Health Plan,California Physicians' Service,No,0,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0154,Local CCP,VIVA Medicare,"Viva Health, Inc.",UAB Health System,Yes,0,4.5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0169,Local CCP,UnitedHealthcare,"Unitedhealthcare Of The Midwest, Inc.","UnitedHealth Group, Inc.",Yes,0,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0174,Local CCP,WellCare,"Wellcare Of Texas, Inc.","WellCare Health Plans, Inc.",Yes,100,Not enough data available,2.5,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0192,Demo,AmeriHealth Caritas VIP Care Plus,"Amerihealth Michigan, Inc.","Independence Health Group, Inc.",No,0,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0251,Local CCP,UnitedHealthcare,"Unitedhealthcare Plan Of The River Valley, Inc.","UnitedHealth Group, Inc.",Yes,0,3.5,4,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0270,Local CCP,WellCare,Wellcare Health Insurance Company Of America,"WellCare Health Plans, Inc.",No,0,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0271,Local CCP,UnitedHealthcare,"Symphonix Health Insurance, Inc.","UnitedHealth Group, Inc.",Yes,0,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0281,Demo,IlliniCare Health,Illinicare Health Plan,Centene Corporation,No,0,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0292,Local CCP,Humana,"Humana Health Plan Of Ohio, Inc.",Humana Inc.,No,0,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0294,Local CCP,UnitedHealthcare,Care Improvement Plus Wisconsin Insurance Company,"UnitedHealth Group, Inc.",Yes,0,4,5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0302,Local CCP,Blue Cross Blue Shield of Arizona Advantage,"Medisun, Inc.","Veritage, LLC",No,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0321,Local CCP,UnitedHealthcare,"Arizona Physicians Ipa, Inc.","UnitedHealth Group, Inc.",Yes,0,3,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0332,Local CCP,KelseyCare Advantage,"Ks Plan Administrators, Llc","Kelsey-Seybold Medical Group, PLLC",No,100,5,4.5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0336,Demo,Humana,"Humana Health Plan, Inc.",Humana Inc.,No,0,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0351,Local CCP,Allwell,"Health Net Of Arizona, Inc.",Centene Corporation,Yes,0,3,3.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0354,Local CCP,Cigna,"Cigna Healthcare Of Arizona, Inc.",CIGNA,Yes,0,4.5,3.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0422,Local CCP,UCare,"Ucare Health, Inc.",UCare Minnesota,No,0,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0423,Local CCP,MetroPlus Health Plan,"Metroplus Health Plan, Inc.",New York City Health and Hospitals Corporation,Yes,0,3.5,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0432,Local CCP,UnitedHealthcare,"Unitedhealthcare Of Alabama, Inc.","UnitedHealth Group, Inc.",Yes,0,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0439,Local CCP,Cigna-HealthSpring,"Cigna Healthcare Of Georgia, Inc.",CIGNA,Yes,0,4,3,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
