2019 High Performing Contracts: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Organization Marketing Name,Contract Name,Parent Organization,Rated As,Highest Rating,Rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0332,Local CCP,KelseyCare Advantage,"Ks Plan Administrators, Llc","Kelsey-Seybold Medical Group, PLLC",MA-PD,Overall,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0524,Local CCP,Kaiser Permanente,"Kaiser Foundation Hp, Inc.","Kaiser Foundation Health Plan, Inc.",MA-PD,Overall,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1019,Local CCP,"CarePlus Health Plans, Inc.","Careplus Health Plans, Inc.",Humana Inc.,MA-PD,Overall,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1035,Local CCP,Florida Blue HMO,"Health Options, Inc.",Guidewell Mutual Holding Corporation,MA-PD,Overall,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1230,Local CCP,Kaiser Permanente,"Kaiser Foundation Hp, Inc.","Kaiser Foundation Health Plan, Inc.",MA-PD,Overall,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1651,1876 Cost,"Medical Associates Health Plan, Inc.","Medical Associates Health Plan, Inc.","Medical Associates Clinic, P.C.",MA-Only,Part C Summary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2150,1876 Cost,Kaiser Permanente,Kaiser Fndn Hp Of The Mid-atlantic Sts,"Kaiser Foundation Health Plan, Inc.",MA-PD,Overall,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2172,Local CCP,Kaiser Permanente,Kaiser Fdtn Hlth Plan Of The Mid-atlantic States,"Kaiser Foundation Health Plan, Inc.",MA-PD,Overall,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2256,Local CCP,Tufts Health Plan,Tufts Associated Health Maintenance Organization,"Tufts Associated HMO, Inc.",MA-PD,Overall,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4461,Local CCP,Humana,Cariten Health Plan Inc.,Humana Inc.,MA-PD,Overall,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5209,Local CCP,"Care Wisconsin Health Plan, Inc.","Care Wisconsin Health Plan, Inc.","Care Wisconsin First, Inc.",MA-PD,Overall,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5410,Local CCP,"HealthSpring of Florida, Inc.",Healthspring Of Florida,CIGNA,MA-PD,Overall,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5431,Local CCP,"HealthSun Health Plans, Inc.","Healthsun Health Plans, Inc.",Anthem Inc.,MA-PD,Overall,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5591,Local CCP,Martin's Point Generations Advantage,"Martin's Point Generations Advantage, Inc.","Martin's Point Health Care, Inc.",MA-PD,Overall,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9834,Local CCP,Senior Preferred,Gundersen Health Plan Of Minnesota,University of Wisconsin Hospitals and Clincs Autho,MA-PD,Overall,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2893,PDP,Blue MedicareRx,Anthem Insurance Co. & Bcbsma & Bcbsri & Bcbsvt,Anthem Insurance Co. & BCBSMA & BCBSRI & BCBSVT,PDP,Part D Summary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3521,PDP,"Excellus Health Plan, Inc","Excellus Health Plan, Inc.","Lifetime Healthcare, Inc.",PDP,Part D Summary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4501,PDP,Pharmacy Benefit Dimensions PDP,Independent Health Benefits Corporation,"Independent Health Association, Inc.",PDP,Part D Summary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S5743,PDP,MedicareBlue Rx,"Wellmark  Ia & Sd, & Bcbs Mn, Mt, Ne, Nd,& Wy","BCBS MN, MT, NE, ND, WY, Wellmark IA and SD",PDP,Part D Summary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
