2020 Disenrollment Reasons View: Medicare Report Card Master Table,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,"Problems Getting Needed Care, Coverage, and Cost Information",Problems with Coverage of Doctors and Hospitals,Financial Reasons for Disenrollment,Problems with Prescription Drug Benefits and Coverage,Problems Getting Information and Help from the Plan
E0654,TEAMStar Medicare Part D Prescription Drug Program,Ibt Voluntary Employee Benefits Trust,IBT Voluntary Employee Benefits Trust,Not Applicable,Not Applicable,Not Available,Not Available,Not Available
E3014,Pennsylvania Public School Employees Retirement Sy,Psers Hop Program,Commonwealth of PA Pub Schools Retirement System,Not Applicable,Not Applicable,Not Available,Not Available,Not Available
E4744,MISSOURI DEPARTMENT OF TRANSPORTATION,Modot/mshp Medical And Life Insurance Plan,Missouri Highways and Transportation Commission,Not Applicable,Not Applicable,Not Available,Not Available,Not Available
H0022,Buckeye Health Plan - MyCare Ohio,"Buckeye Community Health Plan, Inc.",Centene Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H0028,Humana,"Cha Hmo, Inc.",Humana Inc.,28%,25%,14%,Not Available,14%
H0029,Allwell,"Coordinated Care Of Washington, Inc.",Centene Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H0034,"Hamaspik, Inc.","Hamaspik, Inc.","Hamaspik of Rockland County, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0062,Allwell,"Superior Healthplan Community Solutions, Inc.",Centene Corporation,31%,47%,22%,Not Available,22%
H0088,WellCare,"Wellcare Health Insurance Of New York, Inc.","WellCare Health Plans, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H0104,Blue Cross and Blue Shield of Alabama,Blue Cross And Blue Shield Of Alabama,BlueCross BlueShield of Alabama,7%,4%,23%,9%,7%
H0107,Blue Cross and Blue Shield of Montana,Health Care Service Corporation,Health Care Service Corporation,22%,7%,42%,9%,13%
H0111,WellCare,"Wellcare Of Georgia, Inc.","WellCare Health Plans, Inc.",28%,42%,24%,7%,19%
H0137,"Commonwealth Care Alliance, Inc.","Commonwealth Care Alliance, Inc.","Commonwealth Care Alliance, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H0148,Blue Shield of California Promise Health Plan,Blue Shield Of California Promise Health Plan,California Physicians' Service,Not Available,Not Available,Not Available,Not Available,Not Available
H0154,VIVA Medicare,"Viva Health, Inc.","Triton Health Systems, L.L.C.",19%,20%,12%,10%,11%
H0169,UnitedHealthcare,"Unitedhealthcare Of The Midwest, Inc.","UnitedHealth Group, Inc.",16%,23%,13%,Not Available,6%
H0174,WellCare,"Wellcare Of Texas, Inc.","WellCare Health Plans, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H0192,AmeriHealth Caritas VIP Care Plus,"Amerihealth Michigan, Inc.",Independence Health Group,Not Available,Not Available,Not Available,Not Available,Not Available
H0251,UnitedHealthcare,"Unitedhealthcare Plan Of The River Valley, Inc.","UnitedHealth Group, Inc.",12%,25%,7%,3%,7%
H0270,WellCare,Wellcare Health Insurance Company Of America,"WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0271,UnitedHealthcare,"Symphonix Health Insurance, Inc.","UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0281,IlliniCare Health,Illinicare Health Plan,Centene Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H0292,Humana,"Humana Health Plan Of Ohio, Inc.",Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0294,UnitedHealthcare,Care Improvement Plus Wisconsin Insurance Company,"UnitedHealth Group, Inc.",14%,12%,36%,9%,9%
H0302,Blue Cross Blue Shield of Arizona Advantage,"Medisun, Inc.",Blue Cross Blue Shield of Arizona,17%,37%,21%,8%,6%
H0321,UnitedHealthcare,"Arizona Physicians Ipa, Inc.","UnitedHealth Group, Inc.",9%,17%,13%,6%,6%
H0332,KelseyCare Advantage,"Ks Plan Administrators, Llc","Kelsey-Seybold Medical Group, PLLC",16%,30%,11%,5%,10%
H0336,Humana,"Humana Health Plan, Inc.",Humana Inc.,Not Available,Not Available,Not Available,Not Available,Not Available
H0351,Allwell,"Health Net Of Arizona, Inc.",Centene Corporation,27%,17%,38%,10%,16%
H0354,Cigna,"Cigna Healthcare Of Arizona, Inc.",CIGNA,18%,39%,15%,8%,10%
H0422,UCare,"Ucare Health, Inc.",UCare Minnesota,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0423,MetroPlus Health Plan,"Metroplus Health Plan, Inc.",New York City Health and Hospitals Corporation,13%,20%,13%,Not Available,12%
H0432,UnitedHealthcare,"Unitedhealthcare Of Alabama, Inc.","UnitedHealth Group, Inc.",25%,50%,18%,Not Available,17%
H0439,Cigna,"Cigna Healthcare Of Georgia, Inc.",CIGNA,19%,23%,31%,13%,9%
H0473,Humana,Humana Insurance Company Of Kentucky,Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0480,MeridianComplete,"Meridian Health Plan Of Michigan, Inc.","WellCare Health Plans, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H0504,Blue Shield of California,California Physicians' Service,California Physicians' Service,16%,21%,25%,11%,9%
H0523,Aetna Medicare,Aetna Health Of California Inc.,CVS Health Corporation,22%,31%,19%,10%,12%
H0524,Kaiser Permanente,"Kaiser Foundation Hp, Inc.","Kaiser Foundation Health Plan, Inc.",22%,16%,34%,7%,14%
H0543,UnitedHealthcare,Uhc Of California,"UnitedHealth Group, Inc.",18%,28%,23%,Not Available,17%
H0544,Anthem Blue Cross,Blue Cross Of California,Anthem Inc.,22%,47%,18%,Not Available,13%
H0545,Inter Valley Health Plan,"Inter Valley Health Plan, Inc.",InterValley Health Plan,14%,31%,10%,11%,10%
H0562,Health Net of California,"Health Net Of California,inc.",Centene Corporation,20%,22%,21%,13%,14%
H0571,Chinese Community Health Plan,Chinese Community Health Plan,Chinese Hospital Association,22%,41%,36%,Not Available,10%
H0602,Rocky Mountain Health Plans,Rocky Mountain Health Maintenance Organization,"UnitedHealth Group, Inc.",12%,11%,35%,Not Applicable,Not Applicable
H0609,UnitedHealthcare,"Pacificare Of Colorado, Inc.","UnitedHealth Group, Inc.",18%,24%,20%,8%,14%
H0624,UnitedHealthcare,Unitedhealthcare Insurance Company,"UnitedHealth Group, Inc.",21%,31%,12%,Not Available,17%
H0628,Aetna Medicare,Aetna Health Of Ohio Inc.,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0630,Kaiser Permanente,Kaiser Foundation Hp Of Co,"Kaiser Foundation Health Plan, Inc.",22%,30%,23%,7%,16%
H0657,Friday Health Plans of Colorado,"Friday Health Plans Of Colorado, Inc.","Friday Health Plans, Inc.",Not Available,Not Available,Not Available,Not Applicable,Not Applicable
H0672,Cigna,"Cigna Healthcare Of Colorado, Inc.",CIGNA,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0710,UnitedHealthcare,"Sierra Health And Life Insurance Company, Inc.","UnitedHealth Group, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H0712,WellCare,"Wellcare Of Connecticut, Inc.","WellCare Health Plans, Inc.",23%,35%,15%,Not Available,19%
H0724,Allwell,Buckeye Health Plan Community Solutions,Centene Corporation,28%,42%,19%,Not Available,22%
H0755,UnitedHealthcare,"Oxford Health Plans (ct), Inc.","UnitedHealth Group, Inc.",16%,20%,26%,Not Available,9%
H0798,Medica,Medica Community Health Plan,Medica Holding Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0838,Brand New Day,"Universal Care, Inc.","Universal Care, Inc",34%,51%,10%,Not Available,25%
H0908,Allwell,"Buckeye Community Health Plan, Inc.",Centene Corporation,19%,26%,14%,Not Available,Not Available
H0913,WellCare,"Wellcare Health Plans Of New Jersey, Inc.","WellCare Health Plans, Inc.",32%,46%,16%,Not Available,18%
H0927,Blue Cross Community MMAI,Health Care Service Corporation,Health Care Service Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H0969,Wellcare,Wellcare Health Insurance Company Of New Hampshire,"WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0982,Solis Health Plans,"Solis Health Plans, Inc.","Athena Healthcare Holdings, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1016,AvMed Medicare,"Avmed, Inc.","AvMed, Inc.",18%,25%,22%,14%,9%
H1019,"CarePlus Health Plans, Inc.","Careplus Health Plans, Inc.",Humana Inc.,21%,33%,13%,Not Available,16%
H1032,WellCare,"Wellcare Of Florida, Inc.","WellCare Health Plans, Inc.",23%,35%,25%,Not Available,20%
H1035,Florida Blue HMO,"Florida Blue Medicare, Inc.",Guidewell Mutual Holding Corporation,13%,26%,21%,10%,10%
H1036,Humana,"Humana Medical Plan, Inc.",Humana Inc.,23%,34%,16%,12%,15%
H1045,UnitedHealthcare,"Preferred Care Partners, Inc.","UnitedHealth Group, Inc.",23%,33%,13%,11%,10%
H1099,"Health First Health Plans, Inc.",Health First Health Plans,"Health First, Inc.",23%,27%,26%,10%,12%
H1100,Innovation Health Medicare,Innovation Health Insurance Company,"Innovation Health Holdings, LLC",Not Available,Not Available,Not Available,Not Available,Not Available
H1109,Aetna Medicare,Aetna Health Inc.(ga),CVS Health Corporation,18%,15%,20%,Not Available,13%
H1111,UnitedHealthcare,"Unitedhealthcare Of Georgia, Inc.","UnitedHealth Group, Inc.",25%,33%,27%,Not Available,16%
