2020 Star View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTRACT_ID,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",,,,,,,HD2: Managing Chronic (Long Term) Conditions,,,,,,,,,,,,,,HD3: Member Experience with Health Plan,,,,,,HD4: Member Complaints and Changes in the Health Plan's Performance,,,HD5: Health Plan Customer Service,,,DD1: Drug Plan Customer Service,,,DD2: Member Complaints and Changes in the Drug Plan’s Performance,,,DD3: Member Experience with the Drug Plan,,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,
,,,,,C01: Breast Cancer Screening,C02: Colorectal Cancer Screening,C03: Annual Flu Vaccine,C04: Improving or Maintaining Physical Health,C05: Improving or Maintaining Mental Health,C06: Monitoring Physical Activity,C07: Adult BMI Assessment,C08: Special Needs Plan (SNP) Care Management,C09: Care for Older Adults – Medication Review,C10: Care for Older Adults – Functional Status Assessment,C11: Care for Older Adults – Pain Assessment,C12: Osteoporosis Management in Women who had a Fracture,C13: Diabetes Care – Eye Exam,C14: Diabetes Care – Kidney Disease Monitoring,C15: Diabetes Care – Blood Sugar Controlled,C16: Rheumatoid Arthritis Management,C17: Reducing the Risk of Falling,C18: Improving Bladder Control,C19: Medication Reconciliation Post-Discharge,C20: Plan All-Cause Readmissions,C21: Statin Therapy for Patients with Cardiovascular Disease,C22: Getting Needed Care,C23: Getting Appointments and Care Quickly,C24: Customer Service,C25: Rating of Health Care Quality,C26: Rating of Health Plan,C27: Care Coordination,C28: Complaints about the Health Plan,C29: Members Choosing to Leave the Plan,C30: Health Plan Quality Improvement,C31: Plan Makes Timely Decisions about Appeals,C32: Reviewing Appeals Decisions,C33: Call Center – Foreign Language Interpreter and TTY Availability,D01: Call Center – Foreign Language Interpreter and TTY Availability,D02: Appeals Auto–Forward,D03: Appeals Upheld,D04: Complaints about the Drug Plan,D05: Members Choosing to Leave the Plan,D06: Drug Plan Quality Improvement,D07: Rating of Drug Plan,D08: Getting Needed Prescription Drugs,D09: MPF Price Accuracy,D10: Medication Adherence for Diabetes Medications,D11: Medication Adherence for Hypertension (RAS antagonists),D12: Medication Adherence for Cholesterol (Statins),D13: MTM Program Completion Rate for CMR,D14: Statin Use in Persons with Diabetes (SUPD)
,,,,,01/01/2018 – 12/31/2018,01/01/2018 – 12/31/2018,03/2019 – 05/2019,04/01/2018 – 07/31/2018,04/01/2018 – 07/31/2018,04/01/2018 – 07/31/2018,01/01/2018 – 12/31/2018,01/01/2018 – 12/31/2018,01/01/2018 – 12/31/2018,01/01/2018 – 12/31/2018,01/01/2018 – 12/31/2018,01/01/2018 – 12/31/2018,01/01/2018 – 12/31/2018,01/01/2018 – 12/31/2018,01/01/2018 – 12/31/2018,01/01/2018 – 12/31/2018,04/01/2018 – 07/31/2018,04/01/2018 – 07/31/2018,01/01/2018 – 12/31/2018,01/01/2018 – 12/31/2018,01/01/2018 – 12/31/2018,03/2019 – 05/2019,03/2019 – 05/2019,03/2019 – 05/2019,03/2019 – 05/2019,03/2019 – 05/2019,03/2019 – 05/2019,01/01/2018 – 12/31/2018,01/01/2018 – 12/31/2018,Not Applicable,01/01/2018– 12/31/2018,01/01/2018– 12/31/2018,02/2019 – 06/2019,02/2019 – 06/2019,01/01/2018– 12/31/2018,01/01/2018– 12/31/2018,01/01/2018 – 12/31/2018,01/01/2018 – 12/31/2018,Not Applicable,03/2019 – 05/2019,03/2019 – 05/2019,01/01/2018 – 09/30/2018,01/01/2018 – 12/31/2018,01/01/2018 – 12/31/2018,01/01/2018 – 12/31/2018,01/01/2018 – 12/31/2018,01/01/2018 – 12/31/2018
E0654,Employer/Union Only Direct Contract PDP,Ibt Voluntary Employee Benefits Trust,TEAMStar Medicare Part D Prescription Drug Program,IBT Voluntary Employee Benefits Trust,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,5,Not enough data available,4,Not enough data available,3,2,4,Not enough data available,3,3,3,4,3
E3014,Employer/Union Only Direct Contract PDP,Psers Hop Program,Pennsylvania Public School Employees Retirement Sy,Commonwealth of PA Pub Schools Retirement System,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,5,3,5,Not enough data available,5,5,5,Not enough data available,4,4,4,4,4
E4744,Employer/Union Only Direct Contract PDP,Modot/mshp Medical And Life Insurance Plan,MISSOURI DEPARTMENT OF TRANSPORTATION,Missouri Highways and Transportation Commission,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,3,Not enough data available,5,Not enough data available,4,4,5,Not enough data available,4,4,4,3,1
H0022,Demo,"Buckeye Community Health Plan, Inc.",Buckeye Health Plan - MyCare Ohio,Centene Corporation,No data available,No data available,Plan too small to be measured,Not enough data available,Not enough data available,No data available,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,Not enough data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available,No data available
H0028,Local CCP,"Cha Hmo, Inc.",Humana,Humana Inc.,3,4,4,3,3,3,5,4,5,5,5,3,4,5,5,3,3,2,4,3,4,4,5,4,3,3,4,5,4,5,5,5,5,5,5,2,5,4,5,4,4,5,5,4,4,4,4
H0029,Local CCP,"Coordinated Care Of Washington, Inc.",Allwell,Centene Corporation,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,5,No data available,3,3,No data available,No data available
H0034,Local CCP,"Hamaspik, Inc.","Hamaspik, Inc.","Hamaspik of Rockland County, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not enough data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0062,Local CCP,"Superior Healthplan Community Solutions, Inc.",Allwell,Centene Corporation,Not enough data available,2,1,Plan too new to be measured,Plan too new to be measured,3,3,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,1,5,3,Not enough data available,2,Not enough data available,2,5,Not enough data available,Not enough data available,1,4,Not enough data available,3,3,3,2,Not enough data available,Not enough data available,Not enough data available,5,5,2,Not enough data available,3,2,Not enough data available,2,Not enough data available,5,3,2,3,5,5
