2020 Part D Performance Metrics Threshold for Star Assignments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Org Type,Number of Stars Displayed on the Plan Finder Tool,DD1: Drug Plan Customer Service,,,DD2: Member Complaints and Changes in the Drug Plan’s Performance,,,DD3: Member Experience with the Drug Plan,,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,D01: Call Center – Foreign Language Interpreter and TTY Availability,D02: Appeals Auto–Forward,D03: Appeals Upheld,D04: Complaints about the Drug Plan,D05: Members Choosing to Leave the Plan,D06: Drug Plan Quality Improvement,D07: Rating of Drug Plan,D08: Getting Needed Prescription Drugs,D09: MPF Price Accuracy,D10: Medication Adherence for Diabetes Medications,D11: Medication Adherence for Hypertension (RAS antagonists),D12: Medication Adherence for Cholesterol (Statins),D13: MTM Program Completion Rate for CMR,D14: Statin Use in Persons with Diabetes (SUPD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02/2019 – 06/2019,01/01/2018– 12/31/2018,01/01/2018– 12/31/2018,01/01/2018 – 12/31/2018,01/01/2018 – 12/31/2018,Not Applicable,03/2019 – 05/2019,03/2019 – 05/2019,01/01/2018 – 09/30/2018,01/01/2018 – 12/31/2018,01/01/2018 – 12/31/2018,01/01/2018 – 12/31/2018,01/01/2018 – 12/31/2018,01/01/2018 – 12/31/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-PD,1 Star,< 39%,> 119.4,< 71%,NA,> 42%,< -0.100,< 83,< 88,NA,< 74%,< 80%,< 72%,< 54%,< 74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-PD,2 Stars,? 39% to < 70%,> 43.5 to ? 119.4,? 71% to < 78%,NA,> 24% to ? 42%,? -0.100 to < 0.000,? 83 to < 84,? 88 to < 89,NA,? 74% to < 78%,? 80% to < 83%,? 72% to < 80%,? 54% to < 70%,? 74% to < 78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-PD,3 Stars,? 70% to < 82%,> 19.9 to ? 43.5,? 78% to < 86%,> 1.29,> 15% to ? 24%,? 0.000 to < 0.346,? 84 to < 86,? 89 to < 90,? 92 to < 97,? 78% to < 82%,? 83% to < 86%,? 80% to < 84%,? 70% to < 79%,? 78% to < 81%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-PD,4 Stars,? 82% to < 91%,> 8.1 to ? 19.9,? 86% to < 94%,> 0.34 to ? 1.29,> 5% to ? 15%,? 0.346 to < 0.550,? 86 to < 87,? 90 to < 91,? 97 to < 99,? 82% to < 85%,? 86% to < 88%,? 84% to < 87%,? 79% to < 83%,? 81% to < 83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-PD,5 Stars,? 91%,? 8.1,? 94%,? 0.34,? 5%,? 0.550,? 87,? 91,? 99,? 85%,? 88%,? 87%,? 83%,? 83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDP,1 Star,< 75%,> 35.2,< 80%,NA,> 15%,< -0.186,< 80,< 88,NA,< 79%,< 83%,< 79%,< 22%,< 76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDP,2 Stars,? 75% to < 81%,> 17.1 to ? 35.2,? 80% to < 84%,NA,> 12% to ? 15%,? -0.186 to < 0.000,? 80 to < 81,? 88 to < 89,NA,? 79% to < 83%,? 83% to < 85%,? 79% to < 83%,? 22% to < 34%,? 76% to < 78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDP,3 Stars,? 81% to < 92%,> 7.5 to ? 17.1,? 84% to < 90%,> 0.07,> 8% to ? 12%,? 0.000 to < 0.323,? 81 to < 83,? 89 to < 90,? 96 to < 98,? 83% to < 85%,? 85% to < 88%,? 83% to < 86%,? 34% to < 44%,? 78% to < 79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDP,4 Stars,? 92% to < 97%,> 3.7 to ? 7.5,? 90% to < 94%,> 0.03 to ? 0.07,> 6% to ? 8%,? 0.323 to < 0.698,? 83 to < 87,? 90 to < 91,? 98 to < 99,? 85% to < 88%,? 88% to < 90%,? 86% to < 88%,? 44% to < 60%,? 79% to < 83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDP,5 Stars,? 97%,? 3.7,? 94%,? 0.03,? 6%,? 0.698,? 87,? 91,? 99,? 88%,? 90%,? 88%,? 60%,? 83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
