2020 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Osteoporosis Testing - DMC04,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC05,Doctors who Communicate Well - DMC06,Call Center – Beneficiary Hold Time - DMC07,Pneumonia Vaccine - DMC08,Access to Primary Care Doctor Visits - DMC09,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC10,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC11,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC12,Initiation of Alcohol or other Drug Treatment - DMC13,Engagement of Alcohol or other Drug Treatment - DMC14,Hospitalization for Potentially Preventable Complications - DMC15,Plan Makes Timely Decisions about Appeals - DMC16,Controlling High Blood Pressure - DMC17,Follow-up after Emergency Department Visit for Patients with Mulitple Chronic Conditions - DMC18,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC19,Transitions of Care - Notification of Inpatient Admission - DMC20,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC21,Transitions of Care - Receipt of Discharge Information - DMC22,Transitions of Care - Average - DMC23,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Diabetes Medication Dosing - DMD06,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD07,MPF – Stability - DMD08,Call Center – Pharmacy Hold Time - DMD09,Plan Submitted Higher Prices for Display on MPF - DMD10,Reminders to Fill Prescriptions - DMD11,Reminders to Take Medications - DMD12,High Risk Medication - DMD13,Antipsychotic Use in Persons with Dementia - DMD14,Antipsychotic Use in Persons with Dementia - for Community-Only Residents - DMD15,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD16,Use of Opioids at High Dosage and from Multiple Providers - DMD17,MPF Price Accuracy - DMD18,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
E0654,TEAMStar Medicare Part D Prescription Drug Program,Ibt Voluntary Employee Benefits Trust,IBT Voluntary Employee Benefits Trust,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,86%,100.00%,Not enough data available,Not enough data available,3%,0.17%,100%,No data available,Not enough data available,No data available,42%,23%,7%,9%,8%,9%,0.52,No data available,0.37,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,100
E3014,Pennsylvania Public School Employees Retirement Sy,Psers Hop Program,Commonwealth of PA Pub Schools Retirement System,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,98%,100.00%,Not enough data available,Not enough data available,3%,0.11%,100%,No data available,Not enough data available,No data available,51%,19%,10%,8%,7%,10%,0.19,No data available,0.12,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,100
E4744,MISSOURI DEPARTMENT OF TRANSPORTATION,Modot/mshp Medical And Life Insurance Plan,Missouri Highways and Transportation Commission,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100%,100.00%,Not enough data available,Not enough data available,4%,0.33%,100%,No data available,Not enough data available,No data available,38%,17%,11%,7%,7%,9%,0.00,No data available,0.58,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,100
H0022,Buckeye Health Plan - MyCare Ohio,"Buckeye Community Health Plan, Inc.",Centene Corporation,71%,52%,Not enough data available,51%,21%,Not enough data available,00:15,60%,94%,4.72%,75%,90%,47%,11%,50,100%,71%,59%,7%,CMS Found Issues with Plan's Data,69%,CMS Found Issues with Plan's Data,CMS Found Issues with Plan's Data,100%,100.00%,4.72%,00:15,6%,0.22%,100%,100,00:09,93,59%,50%,14%,12%,10%,12%,1.22,95,0.79,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0028,Humana,"Cha Hmo, Inc.",Humana Inc.,47%,54%,83%,75%,33%,92,00:19,80%,96%,1.60%,75%,79%,44%,5%,42,100%,84%,55%,47%,0%,90%,1%,34%,100%,100.00%,1.60%,00:19,2%,0.41%,100%,100,00:10,92,59%,35%,7%,7%,7%,6%,0.40,96,0.70,28%,25%,14%,Not Available,14%,100
H0029,Allwell,"Coordinated Care Of Washington, Inc.",Centene Corporation,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,Not enough data available,No data available,88%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,CMS Found Issues with Plan's Data,Not enough data available,CMS Found Issues with Plan's Data,CMS Found Issues with Plan's Data,No data available,No data available,Not enough data available,Not enough data available,No data available,No data available,100%,97,Not enough data available,94,No data available,No data available,6%,No data available,No data available,No data available,No data available,93,No Data Available,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0034,"Hamaspik, Inc.","Hamaspik, Inc.","Hamaspik of Rockland County, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0062,Allwell,"Superior Healthplan Community Solutions, Inc.",Centene Corporation,Not enough data available,Not enough data available,Not enough data available,66%,Not enough data available,Not enough data available,00:11,66%,93%,2.50%,Not enough data available,Not enough data available,45%,6%,No data available,Not enough data available,63%,42%,45%,3%,75%,0%,31%,No data available,No data available,2.50%,00:11,4%,0.00%,100%,100,00:09,92,55%,43%,6%,4%,5%,No data available,0.00,95,8.34,31%,47%,22%,Not Available,22%,100
H0088,WellCare,"Wellcare Health Insurance Of New York, Inc.","WellCare Health Plans, Inc.",Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,01:33,No data available,83%,2.36%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,2.36%,01:33,No data available,No data available,100%,No data available,01:26,93,No data available,No data available,0%,No data available,No data available,No data available,No data available,95,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0104,Blue Cross and Blue Shield of Alabama,Blue Cross And Blue Shield Of Alabama,BlueCross BlueShield of Alabama,45%,61%,86%,84%,35%,91,02:03,73%,97%,2.36%,73%,78%,30%,3%,47,99%,72%,51%,69%,12%,89%,0%,43%,96%,100.00%,2.36%,02:03,4%,0.24%,100%,101,00:08,91,47%,21%,8%,10%,8%,23%,0.57,93,1.00,7%,4%,23%,9%,7%,80
