2020 Domain Star View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",HD2: Managing Chronic (Long Term) Conditions,HD3: Member Experience with Health Plan,HD4: Member Complaints and Changes in the Health Plan's Performance,HD5: Health Plan Customer Service,DD1: Drug Plan Customer Service,DD2: Member Complaints and Changes in the Drug Plan’s Performance,DD3: Member Experience with the Drug Plan,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0654,Employer/Union Only Direct Contract PDP,Ibt Voluntary Employee Benefits Trust,TEAMStar Medicare Part D Prescription Drug Program,IBT Voluntary Employee Benefits Trust,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3014,Employer/Union Only Direct Contract PDP,Psers Hop Program,Pennsylvania Public School Employees Retirement Sy,Commonwealth of PA Pub Schools Retirement System,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,4,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E4744,Employer/Union Only Direct Contract PDP,Modot/mshp Medical And Life Insurance Plan,MISSOURI DEPARTMENT OF TRANSPORTATION,Missouri Highways and Transportation Commission,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0022,Demo,"Buckeye Community Health Plan, Inc.",Buckeye Health Plan - MyCare Ohio,Centene Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0028,Local CCP,"Cha Hmo, Inc.",Humana,Humana Inc.,4,4,4,5,5,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0029,Local CCP,"Coordinated Care Of Washington, Inc.",Allwell,Centene Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0034,Local CCP,"Hamaspik, Inc.","Hamaspik, Inc.","Hamaspik of Rockland County, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0062,Local CCP,"Superior Healthplan Community Solutions, Inc.",Allwell,Centene Corporation,2,3,3,3,Not enough data available,4,3,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0088,Local CCP,"Wellcare Health Insurance Of New York, Inc.",WellCare,"WellCare Health Plans, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0104,Local CCP,Blue Cross And Blue Shield Of Alabama,Blue Cross and Blue Shield of Alabama,BlueCross BlueShield of Alabama,4,3,4,5,4,4,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0107,Local CCP,Health Care Service Corporation,Blue Cross and Blue Shield of Montana,Health Care Service Corporation,4,3,4,3,2,5,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0111,Local CCP,"Wellcare Of Georgia, Inc.",WellCare,"WellCare Health Plans, Inc.",3,Not enough data available,2,3,Not enough data available,4,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0137,Demo,"Commonwealth Care Alliance, Inc.","Commonwealth Care Alliance, Inc.","Commonwealth Care Alliance, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
