2021 CAI View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Puerto Rico Only,Part C FAC,Part D MA-PD FAC,Part D PDP FAC,Overall FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0654 ,TEAMStar Medicare Part D Prescription Drug Program ,IBT VOLUNTARY EMPLOYEE BENEFITS TRUST ,IBT Voluntary Employee Benefits Trust ,No ,N/A ,N/A ,1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3014 ,Pennsylvania Public School Employees Retirement Sy ,PSERS HOP PROGRAM ,Commonwealth of PA Pub Schools Retirement System ,No ,N/A ,N/A ,1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E4744 ,MISSOURI DEPARTMENT OF TRANSPORTATION ,MODOT/MSHP MEDICAL AND LIFE INSURANCE PLAN ,Missouri Highways and Transportation Commission ,No ,N/A ,N/A ,1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0028 ,Humana ,"CHA HMO, INC. ",Humana Inc. ,No ,2,4,N/A ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0029 ,Allwell ,"COORDINATED CARE OF WASHINGTON, INC. ",Centene Corporation ,No ,N/A ,N/A ,N/A ,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0034 ,"Hamaspik, Inc. ","HAMASPIK, INC. ","Hamaspik of Rockland County, Inc. ",No ,N/A ,N/A ,N/A ,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0062 ,Allwell ,"SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC. ",Centene Corporation ,No ,3,4,N/A ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0074 ,WellCare ,"WELLCARE OF MISSISSIPPI, INC. ",Centene Corporation ,No ,N/A ,N/A ,N/A ,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0088 ,WellCare ,"WELLCARE HEALTH INSURANCE OF NEW YORK, INC. ",Centene Corporation ,No ,2,3,N/A ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0104 ,Blue Cross and Blue Shield of Alabama ,BLUE CROSS AND BLUE SHIELD OF ALABAMA ,BlueCross BlueShield of Alabama ,No ,2,2,N/A ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0107 ,Blue Cross and Blue Shield of Montana ,HEALTH CARE SERVICE CORPORATION ,Health Care Service Corporation ,No ,2,2,N/A ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0111 ,WellCare ,"WELLCARE OF GEORGIA, INC. ",Centene Corporation ,No ,2,4,N/A ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0154 ,VIVA Medicare ,"VIVA HEALTH, INC. ","Triton Health Systems, L.L.C. ",No ,3,5,N/A ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0169 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF THE MIDWEST, INC. ","UnitedHealth Group, Inc. ",No ,4,6,N/A ,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0174 ,WellCare ,"WELLCARE OF TEXAS, INC. ",Centene Corporation ,No ,3,4,N/A ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0251 ,UnitedHealthcare ,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC. ","UnitedHealth Group, Inc. ",No ,4,6,N/A ,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0270 ,WellCare ,WELLCARE HEALTH INSURANCE COMPANY OF AMERICA ,Centene Corporation ,No ,3,4,N/A ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0271 ,UnitedHealthcare ,"SYMPHONIX HEALTH INSURANCE, INC. ","UnitedHealth Group, Inc. ",No ,4,5,N/A ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0292 ,Humana ,"HUMANA HEALTH PLAN OF OHIO, INC. ",Humana Inc. ,No ,2,4,N/A ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0294 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY ,"UnitedHealth Group, Inc. ",No ,2,2,N/A ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0302 ,Blue Cross Blue Shield of Arizona Advantage ,"MEDISUN, INC. ",Blue Cross Blue Shield of Arizona ,No ,2,2,N/A ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0321 ,UnitedHealthcare ,"ARIZONA PHYSICIANS IPA, INC. ","UnitedHealth Group, Inc. ",No ,4,6,N/A ,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0332 ,KelseyCare Advantage ,"KS PLAN ADMINISTRATORS, LLC ","Kelsey-Seybold Medical Group, PLLC ",No ,1,1,N/A ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0342 ,CarePartners of Connecticut ,"CAREPARTNERS OF CONNECTICUT, INC. ","Tufts Health Plan, Inc ",No ,N/A ,N/A ,N/A ,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0351 ,Allwell ,"HEALTH NET OF ARIZONA, INC. ",Centene Corporation ,No ,2,3,N/A ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0354 ,Cigna ,"CIGNA HEALTHCARE OF ARIZONA, INC. ",CIGNA ,No ,2,2,N/A ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0363 ,Longevity Health Plan ,"LONGEVITY HEALTH PLAN OF COLORADO, INC. ","Longevity Health Founders, LLC ",No ,N/A ,N/A ,N/A ,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0422 ,UCare ,"UCARE HEALTH, INC. ",UCare Minnesota ,No ,1,1,N/A ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0423 ,MetroPlus Health Plan ,"METROPLUS HEALTH PLAN, INC. ",New York City Health and Hospitals Corporation ,No ,3,5,N/A ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0432 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF ALABAMA, INC. ","UnitedHealth Group, Inc. ",No ,4,5,N/A ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0439 ,Cigna ,"CIGNA HEALTHCARE OF GEORGIA, INC. ",CIGNA ,No ,3,4,N/A ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0473 ,Humana ,HUMANA INSURANCE COMPANY OF KENTUCKY ,Humana Inc. ,No ,2,4,N/A ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0482 ,Ascension Complete ,CENTENE VENTURE COMPANY MICHIGAN ,Centene Corporation ,No ,N/A ,N/A ,N/A ,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0504 ,Blue Shield of California ,CALIFORNIA PHYSICIANS' SERVICE ,California Physicians' Service ,No ,1,1,N/A ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0523 ,Aetna Medicare ,AETNA HEALTH OF CALIFORNIA INC. ,CVS Health Corporation ,No ,2,2,N/A ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0524 ,Kaiser Permanente ,"KAISER FOUNDATION HP, INC. ","Kaiser Foundation Health Plan, Inc. ",No ,2,1,N/A ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0543 ,UnitedHealthcare ,UHC OF CALIFORNIA ,"UnitedHealth Group, Inc. ",No ,2,1,N/A ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0544 ,Anthem Blue Cross ,BLUE CROSS OF CALIFORNIA ,Anthem Inc. ,No ,2,4,N/A ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0545 ,Inter Valley Health Plan ,"INTER VALLEY HEALTH PLAN, INC. ",InterValley Health Plan ,No ,2,1,N/A ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0562 ,Health Net of California ,"HEALTH NET OF CALIFORNIA,INC. ",Centene Corporation ,No ,2,2,N/A ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0571 ,Chinese Community Health Plan ,CHINESE COMMUNITY HEALTH PLAN ,Chinese Hospital Association ,No ,2,4,N/A ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0609 ,UnitedHealthcare ,"PACIFICARE OF COLORADO, INC. ","UnitedHealth Group, Inc. ",No ,2,2,N/A ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0624 ,UnitedHealthcare ,UNITEDHEALTHCARE INSURANCE COMPANY ,"UnitedHealth Group, Inc. ",No ,4,6,N/A ,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0628 ,Aetna Medicare ,AETNA HEALTH OF OHIO INC. ,CVS Health Corporation ,No ,N/A ,N/A ,N/A ,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0630 ,Kaiser Permanente ,KAISER FOUNDATION HP OF CO ,"Kaiser Foundation Health Plan, Inc. ",No ,1,1,N/A ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0657 ,Friday Health Plans ,"FRIDAY HEALTH PLANS OF COLORADO, INC. ","Friday Health Plans, Inc. ",No ,2,N/A ,N/A ,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0672 ,Cigna ,"CIGNA HEALTHCARE OF COLORADO, INC. ",CIGNA ,No ,N/A ,N/A ,N/A ,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0710 ,UnitedHealthcare ,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC. ","UnitedHealth Group, Inc. ",No ,3,5,N/A ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
