2021 Summary Star View: Medicare Report Card Master Table,,,,,,,,,,
Contract Number,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,SNP,2018 Disaster %,2019 Disaster %,2021 Part C Summary,2021 Part D Summary,2021 Overall
E0654 ,Employer/Union Only Direct Contract PDP ,IBT VOLUNTARY EMPLOYEE BENEFITS TRUST ,TEAMStar Medicare Part D Prescription Drug Program ,IBT Voluntary Employee Benefits Trust ,No ,5,0,Not Applicable ,3,Not Applicable
E3014 ,Employer/Union Only Direct Contract PDP ,PSERS HOP PROGRAM ,Pennsylvania Public School Employees Retirement Sy ,Commonwealth of PA Pub Schools Retirement System ,No ,1,0,Not Applicable ,4.5,Not Applicable
E4744 ,Employer/Union Only Direct Contract PDP ,MODOT/MSHP MEDICAL AND LIFE INSURANCE PLAN ,MISSOURI DEPARTMENT OF TRANSPORTATION ,Missouri Highways and Transportation Commission ,No ,0,0,Not Applicable ,3.5,Not Applicable
H0022 ,Demo ,"BUCKEYE COMMUNITY HEALTH PLAN, INC. ",Buckeye Health Plan - MyCare Ohio ,Centene Corporation ,No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H0028 ,Local CCP ,"CHA HMO, INC. ",Humana ,Humana Inc. ,Yes ,0,0,4,3.5,4
H0029 ,Local CCP ,"COORDINATED CARE OF WASHINGTON, INC. ",Allwell ,Centene Corporation ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0034 ,Local CCP ,"HAMASPIK, INC. ","Hamaspik, Inc. ","Hamaspik of Rockland County, Inc. ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0062 ,Local CCP ,"SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC. ",Allwell ,Centene Corporation ,No ,0,0,3,3.5,3
H0074 ,Local CCP ,"WELLCARE OF MISSISSIPPI, INC. ",WellCare ,Centene Corporation ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0088 ,Local CCP ,"WELLCARE HEALTH INSURANCE OF NEW YORK, INC. ",WellCare ,Centene Corporation ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0104 ,Local CCP ,BLUE CROSS AND BLUE SHIELD OF ALABAMA ,Blue Cross and Blue Shield of Alabama ,BlueCross BlueShield of Alabama ,No ,0,0,4,4,4
H0107 ,Local CCP ,HEALTH CARE SERVICE CORPORATION ,Blue Cross and Blue Shield of Montana ,Health Care Service Corporation ,No ,0,0,4,4,4
H0111 ,Local CCP ,"WELLCARE OF GEORGIA, INC. ",WellCare ,Centene Corporation ,Yes ,0,0,3,3,3
H0137 ,Demo ,"COMMONWEALTH CARE ALLIANCE, INC. ","Commonwealth Care Alliance, Inc. ","Commonwealth Care Alliance, Inc. ",No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H0148 ,Demo ,BLUE SHIELD OF CALIFORNIA PROMISE HEALTH PLAN ,Blue Shield of California Promise Health Plan ,California Physicians' Service ,No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
