2021 Disenrollment Reasons View: Medicare Report Card Master Table,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Problems Getting the Plan to Provide and Pay for Needed Care,Problems with Coverage of Doctors and Hospitals,Financial Reasons for Disenrollment,Problems with Prescription Drug Benefits and Coverage,Problems Getting Information and Help from the Plan
E0654,TEAMStar Medicare Part D Prescription Drug Program,IBT VOLUNTARY EMPLOYEE BENEFITS TRUST,IBT Voluntary Employee Benefits Trust,Not Applicable,Not Applicable,Not Available,Not Available,Not Available
E3014,Pennsylvania Public School Employees Retirement Sy,PSERS HOP PROGRAM,Commonwealth of PA Pub Schools Retirement System,Not Applicable,Not Applicable,Not Available,Not Available,Not Available
E4744,MISSOURI DEPARTMENT OF TRANSPORTATION,MODOT/MSHP MEDICAL AND LIFE INSURANCE PLAN,Missouri Highways and Transportation Commission,Not Applicable,Not Applicable,Not Available,Not Available,Not Available
H0022,Buckeye Health Plan - MyCare Ohio,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Centene Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H0028,Humana,"CHA HMO, INC.",Humana Inc.,20%,22%,19%,Not Available,15%
H0029,Allwell,"COORDINATED CARE OF WASHINGTON, INC.",Centene Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H0034,"Hamaspik, Inc.","HAMASPIK, INC.","Hamaspik of Rockland County, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0062,Allwell,"SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.",Centene Corporation,22%,27%,19%,18%,18%
H0074,WellCare,"WELLCARE OF MISSISSIPPI, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0088,WellCare,"WELLCARE HEALTH INSURANCE OF NEW YORK, INC.",Centene Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H0104,Blue Cross and Blue Shield of Alabama,BLUE CROSS AND BLUE SHIELD OF ALABAMA,BlueCross BlueShield of Alabama,14%,10%,26%,11%,9%
H0107,Blue Cross and Blue Shield of Montana,HEALTH CARE SERVICE CORPORATION,Health Care Service Corporation,20%,16%,42%,10%,11%
H0111,WellCare,"WELLCARE OF GEORGIA, INC.",Centene Corporation,21%,22%,25%,8%,16%
H0137,"Commonwealth Care Alliance, Inc.","COMMONWEALTH CARE ALLIANCE, INC.","Commonwealth Care Alliance, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H0148,Blue Shield of California Promise Health Plan,BLUE SHIELD OF CALIFORNIA PROMISE HEALTH PLAN,California Physicians' Service,Not Available,Not Available,Not Available,Not Available,Not Available
H0154,VIVA Medicare,"VIVA HEALTH, INC.","Triton Health Systems, L.L.C.",13%,22%,16%,Not Available,11%
H0169,UnitedHealthcare,"UNITEDHEALTHCARE OF THE MIDWEST, INC.","UnitedHealth Group, Inc.",14%,22%,7%,7%,8%
H0174,WellCare,"WELLCARE OF TEXAS, INC.",Centene Corporation,28%,37%,13%,Not Available,24%
H0192,AmeriHealth Caritas VIP Care Plus,"AMERIHEALTH MICHIGAN, INC.",Independence Health Group,Not Available,Not Available,Not Available,Not Available,Not Available
H0251,UnitedHealthcare,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.","UnitedHealth Group, Inc.",6%,36%,5%,3%,6%
H0270,WellCare,WELLCARE HEALTH INSURANCE COMPANY OF AMERICA,Centene Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H0271,UnitedHealthcare,"SYMPHONIX HEALTH INSURANCE, INC.","UnitedHealth Group, Inc.",15%,17%,19%,Not Available,12%
H0292,Humana,"HUMANA HEALTH PLAN OF OHIO, INC.",Humana Inc.,25%,29%,18%,Not Available,15%
H0294,UnitedHealthcare,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,"UnitedHealth Group, Inc.",18%,12%,40%,10%,11%
H0302,Blue Cross Blue Shield of Arizona Advantage,"MEDISUN, INC.",Blue Cross Blue Shield of Arizona,18%,22%,29%,10%,10%
H0321,UnitedHealthcare,"ARIZONA PHYSICIANS IPA, INC.","UnitedHealth Group, Inc.",8%,17%,7%,4%,6%
H0332,KelseyCare Advantage,"KS PLAN ADMINISTRATORS, LLC","Kelsey-Seybold Medical Group, PLLC",17%,26%,22%,8%,15%
H0336,Humana,"HUMANA HEALTH PLAN, INC.",Humana Inc.,Not Available,Not Available,Not Available,Not Available,Not Available
H0342,CarePartners of Connecticut,"CAREPARTNERS OF CONNECTICUT, INC.","Tufts Health Plan, Inc",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0351,Allwell,"HEALTH NET OF ARIZONA, INC.",Centene Corporation,18%,17%,39%,14%,17%
H0354,Cigna,"CIGNA HEALTHCARE OF ARIZONA, INC.",CIGNA,17%,35%,15%,7%,11%
H0363,Longevity Health Plan,"LONGEVITY HEALTH PLAN OF COLORADO, INC.","Longevity Health Founders, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0422,UCare,"UCARE HEALTH, INC.",UCare Minnesota,Not Available,Not Available,Not Available,Not Available,Not Available
H0423,MetroPlus Health Plan,"METROPLUS HEALTH PLAN, INC.",New York City Health and Hospitals Corporation,18%,25%,18%,10%,12%
H0432,UnitedHealthcare,"UNITEDHEALTHCARE OF ALABAMA, INC.","UnitedHealth Group, Inc.",21%,46%,13%,Not Available,15%
H0439,Cigna,"CIGNA HEALTHCARE OF GEORGIA, INC.",CIGNA,21%,37%,23%,14%,11%
H0473,Humana,HUMANA INSURANCE COMPANY OF KENTUCKY,Humana Inc.,22%,26%,16%,Not Available,14%
H0480,MeridianComplete,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC.",Centene Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H0482,Ascension Complete,CENTENE VENTURE COMPANY MICHIGAN,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0504,Blue Shield of California,CALIFORNIA PHYSICIANS' SERVICE,California Physicians' Service,16%,25%,24%,10%,10%
H0523,Aetna Medicare,AETNA HEALTH OF CALIFORNIA INC.,CVS Health Corporation,10%,16%,13%,9%,10%
H0524,Kaiser Permanente,"KAISER FOUNDATION HP, INC.","Kaiser Foundation Health Plan, Inc.",20%,17%,32%,8%,17%
H0543,UnitedHealthcare,UHC OF CALIFORNIA,"UnitedHealth Group, Inc.",17%,23%,34%,Not Available,16%
H0544,Anthem Blue Cross,BLUE CROSS OF CALIFORNIA,Anthem Inc.,22%,44%,16%,11%,17%
H0545,Inter Valley Health Plan,"INTER VALLEY HEALTH PLAN, INC.",InterValley Health Plan,19%,16%,15%,11%,9%
H0562,Health Net of California,"HEALTH NET OF CALIFORNIA,INC.",Centene Corporation,16%,20%,23%,15%,14%
H0571,Chinese Community Health Plan,CHINESE COMMUNITY HEALTH PLAN,Chinese Hospital Association,Not Available,Not Available,Not Available,Not Available,Not Available
H0609,UnitedHealthcare,"PACIFICARE OF COLORADO, INC.","UnitedHealth Group, Inc.",18%,32%,19%,7%,13%
H0624,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",13%,25%,12%,7%,13%
H0628,Aetna Medicare,AETNA HEALTH OF OHIO INC.,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0630,Kaiser Permanente,KAISER FOUNDATION HP OF CO,"Kaiser Foundation Health Plan, Inc.",22%,33%,23%,7%,15%
H0657,Friday Health Plans,"FRIDAY HEALTH PLANS OF COLORADO, INC.","Friday Health Plans, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H0672,Cigna,"CIGNA HEALTHCARE OF COLORADO, INC.",CIGNA,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0710,UnitedHealthcare,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","UnitedHealth Group, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H0712,WellCare,"WELLCARE OF CONNECTICUT, INC.",Centene Corporation,27%,39%,11%,Not Available,20%
H0724,Allwell,BUCKEYE HEALTH PLAN COMMUNITY SOLUTIONS,Centene Corporation,23%,33%,21%,Not Available,20%
H0755,UnitedHealthcare,"OXFORD HEALTH PLANS (CT), INC.","UnitedHealth Group, Inc.",16%,25%,27%,11%,8%
H0783,Humana,"HUMANA BENEFIT PLAN OF TEXAS, INC.",Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0798,Medica,MEDICA COMMUNITY HEALTH PLAN,Medica Holding Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0838,Brand New Day,"UNIVERSAL CARE, INC.","Universal Care, Inc",29%,50%,12%,Not Available,23%
H0885,Braven Health,HEALTHIER NEW JERSEY INSURANCE COMPANY,"NJ Collaborative Care, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0907,Amerigroup Iowa,"AMERIGROUP IOWA, INC.",Anthem Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0908,Allwell,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Centene Corporation,24%,38%,13%,Not Available,18%
H0913,WellCare,"WELLCARE HEALTH PLANS OF NEW JERSEY, INC.",Centene Corporation,26%,45%,14%,18%,20%
H0927,Blue Cross Community MMAI,HEALTH CARE SERVICE CORPORATION,Health Care Service Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H0969,WellCare,WELLCARE HEALTH INSURANCE COMPANY OF NEW HAMPSHIRE,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
