Medicare Part C Display Measures,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Breast Cancer Screening - C01,Colorectal Cancer Screening - C02,Care for Older Adults – Medication Review - C06,Care for Older Adults – Pain Assessment - C07,Osteoporosis Management in Women who had a Fracture - C08,Diabetes Care – Eye Exam - C09,Diabetes Care – Kidney Disease Monitoring - C10,Diabetes Care – Blood Sugar Controlled - C11,Rheumatoid Arthritis Management - C12,Medication Reconciliation Post-Discharge - C15,Statin Therapy for Patients with Cardiovascular Disease - C16
H0029,Allwell,"COORDINATED CARE OF WASHINGTON, INC.",Centene Corporation,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H0034,"Hamaspik, Inc.","HAMASPIK, INC.","Hamaspik of Rockland County, Inc.",Not enough data available,Not enough data available,No data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H0088,Wellcare,"WELLCARE HEALTH INSURANCE OF NEW YORK, INC.",Centene Corporation,Not enough data available,55%,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H0270,Wellcare,WELLCARE HEALTH INSURANCE COMPANY OF AMERICA,Centene Corporation,Not enough data available,Not enough data available,No data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H0798,Medica,MEDICA COMMUNITY HEALTH PLAN,Medica Holding Company,Not enough data available,53%,No data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H0969,Wellcare,WELLCARE HEALTH INSURANCE COMPANY OF NEW HAMPSHIRE,Centene Corporation,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Not enough data available,37%,90%,49%,Not enough data available,55%,Not enough data available
H1119,Valor Health Plan,"TSG GUARD, INC.","The Schroer Group, Inc.",Not enough data available,Not enough data available,100%,99%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H1142,Bright Health,"BRIGHT HEALTH INSURANCE COMPANY OF OHIO, INC.","Bright Health Group, Inc.",Not enough data available,25%,Plan not required to report measure,Plan not required to report measure,Not enough data available,44%,86%,32%,Not enough data available,48%,Not enough data available
H1205,Integra Managed Care,"INTEGRA MLTC, INC",Personal Touch Holding Corp.,Not enough data available,Not enough data available,No data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H1277,Align Senior Care,"ALIGN SENIOR CARE, INC.","Innovative Long Term Care Management, Inc.",Not enough data available,Not enough data available,No data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H1393,Bright Health,BRIGHT HEALTH INSURANCE COMPANY OF TENNESSEE,"Bright Health Group, Inc.",Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H1644,Longevity Health Plan,"LONGEVITY HEALTH PLAN OF FLORIDA, INC.","Longevity Health Founders, LLC",Not enough data available,Not enough data available,99%,100%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H1722,Healthfirst Medicare Plan,"HEALTHFIRST HEALTH PLAN, INC.","Healthfirst, Inc.",Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H1787,Great Plains Medicare Advantage,"GOOD SAMARITAN INSURANCE PLAN OF SOUTH DAKOTA, INC",Sanford Health,Not enough data available,Not enough data available,95%,100%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H2011,Bright Health,BRIGHT HEALTH INSURANCE COMPANY OF TENNESSEE,"Bright Health Group, Inc.",Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H2020,Clear Spring Health,DELAWARE LIFE INSURANCE COMPANY,Group 1001,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H2120,BlueEssential,"SECURITYCARE OF TENNESSEE, INC.",BlueCross BlueShield of Tennessee,Not enough data available,Not enough data available,No data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H2134,Wellcare by Allwell,"WESTERN SKY COMMUNITY CARE, INC.",Centene Corporation,Not enough data available,Not enough data available,94%,83%,Not enough data available,40%,91%,58%,Not enough data available,40%,Not enough data available
H2162,Wellcare,"WELLCARE OF NEW HAMPSHIRE, INC.",Centene Corporation,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H2334,Clear Spring Health,"EON HEALTH, INC. (SC)",Group 1001,Not enough data available,Not enough data available,No data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H2392,Kansas Health Advantage,"KANSAS SUPERIOR SELECT, INC.",Kansas Superior Select,Not enough data available,Not enough data available,69%,70%,Not enough data available,39%,85%,2%,Not enough data available,Not enough data available,Not enough data available
H2400,Signature Advantage (HMO SNP),"SIGNATURE ADVANTAGE, LLC","SA Plan, LLC",Not enough data available,Not enough data available,65%,98%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H2417,Itasca Medical Care/IMCare Classic,ITASCA MEDICAL CARE,Itasca County,61%,64%,85%,94%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,73%,Not enough data available
H2591,Health Alliance Medicare,"HEALTH ALLIANCE - MIDWEST, INC.",The Carle Foundation,84%,69%,Plan not required to report measure,Plan not required to report measure,Not enough data available,81%,86%,52%,Not enough data available,34%,Not enough data available
H2624,CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA,CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA,Moses H. Cone Memorial Hospital Corp.,Not enough data available,Not enough data available,99%,97%,Not enough data available,85%,98%,79%,Not enough data available,88%,Not enough data available
H2678,MoreCare,"MoreCare, Inc.",MHNU Corporation,Not enough data available,Not enough data available,77%,95%,Not enough data available,63%,93%,78%,Not enough data available,29%,Not enough data available
H2722,Vantage Health Plan,"VANTAGE HEALTH PLAN OF ARKANSAS, INC.",Louisiana Health Service & Indemnity Company,Not enough data available,Not enough data available,No data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,22%,Not enough data available
H2836,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS, INC.",Anthem Inc.,Not enough data available,Not enough data available,No data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H2926,PrimeWest Health,PRIMEWEST RURAL MN HEALTH CARE ACCESS INITIATIVE,PrimeWest Rural MN Health Care Access Initiative,81%,80%,Not enough data available,Not enough data available,Not enough data available,90%,100%,90%,Not enough data available,Not enough data available,Not enough data available
H3281,Bright Health,BRIGHT HEALTH INSURANCE COMPANY OF FLORIDA,"Bright Health Group, Inc.",Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Not enough data available,49%,92%,64%,Not enough data available,Not enough data available,Not enough data available
H3407,El Paso Health Advantage Dual SNP,"EL PASO FIRST HEALTH PLANS, INC.",El Paso County Hospital District,Not enough data available,Not enough data available,No data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
