2022 Part D Performance Metrics Threshold for Star Assignments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Org Type,Number of Stars Displayed on the Plan Finder Tool,DD1: Drug Plan Customer Service,DD2: Member Complaints and Changes in the Drug Plan’s Performance,,,DD3: Member Experience with the Drug Plan,,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,D01: Call Center – Foreign Language Interpreter and TTY Availability,D02: Complaints about the Drug Plan,D03: Members Choosing to Leave the Plan,D04: Drug Plan Quality Improvement,D05: Rating of Drug Plan,D06: Getting Needed Prescription Drugs,D07: MPF Price Accuracy,D08: Medication Adherence for Diabetes Medications,D09: Medication Adherence for Hypertension (RAS antagonists),D10: Medication Adherence for Cholesterol (Statins),D11: MTM Program Completion Rate for CMR,D12: Statin Use in Persons with Diabetes (SUPD),,,,,,,,,,,,,,,,,,,,,,,,
,,02/2021 – 06/2021,01/01/2020 – 12/31/2020,01/01/2020 – 12/31/2020,Not Applicable,03/2021 – 05/2021,03/2021 – 05/2021,01/01/2020 – 12/31/2020,01/01/2020 – 12/31/2020,01/01/2020 – 12/31/2020,01/01/2020 – 12/31/2020,01/01/2020 – 12/31/2020,01/01/2020 – 12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,
MA-PD ,1star ,< 25 % ,> 1.14 ,> 44 % ,< -0.2 ,< 84 ,< 89 ,< 73 ,< 80 % ,< 74 % ,< 78 % ,< 54 % ,< 76 %,,,,,,,,,,,,,,,,,,,,,,,,
MA-PD ,2star ,>= 25 % to < 59 % ,> 0.79 to <= 1.14 ,> 29 % to <= 44 % ,>= -0.2 to < 0 ,>= 84 to < 85 ,>= 89 to < 90 ,>= 73 to < 83 ,>= 80 % to < 85 % ,>= 74 % to < 82 % ,>= 78 % to < 83 % ,>= 54 % to < 72 % ,>= 76 % to < 80 %,,,,,,,,,,,,,,,,,,,,,,,,
MA-PD ,3star ,>= 59 % to < 84 % ,> 0.37 to <= 0.79 ,> 16 % to <= 29 % ,>= 0 to < 0.428571 ,>= 85 to < 87 ,>= 90 to < 91 ,>= 83 to < 91 ,>= 85 % to < 87 % ,>= 82 % to < 87 % ,>= 83 % to < 87 % ,>= 72 % to < 82 % ,>= 80 % to < 84 %,,,,,,,,,,,,,,,,,,,,,,,,
MA-PD ,4star ,>= 84 % to < 94 % ,> 0.17 to <= 0.37 ,> 9 % to <= 16 % ,>= 0.428571 to < 0.68421 ,>= 87 to < 88 ,>= 91 to < 92 ,>= 91 to < 96 ,>= 87 % to < 91 % ,>= 87 % to < 90 % ,>= 87 % to < 91 % ,>= 82 % to < 89 % ,>= 84 % to < 88 %,,,,,,,,,,,,,,,,,,,,,,,,
MA-PD ,5star ,>= 94 % ,<= 0.17 ,<= 9 % ,>= 0.684211 ,>= 88 ,>= 92 ,>= 96 ,>= 91 % ,>= 90 % ,>= 91 % ,>= 89 % ,>= 88 %,,,,,,,,,,,,,,,,,,,,,,,,
PDP ,1star ,< 63 % ,> 0.21 ,> 20 % ,NA ,< 80 ,< 89 ,< 84 ,< 84 % ,< 85 % ,< 82 % ,< 31 % ,< 77 %,,,,,,,,,,,,,,,,,,,,,,,,
PDP ,2star ,>= 63 % to < 80 % ,> 0.15 to <= 0.21 ,> 13 % to <= 20 % ,NA ,>= 80 to < 82 ,>= 89 to < 90 ,>= 84 to < 88 ,>= 84 % to < 86 % ,>= 85 % to < 88 % ,>= 82 % to < 86 % ,>= 31 % to < 47 % ,>= 77 % to < 79 %,,,,,,,,,,,,,,,,,,,,,,,,
PDP ,3star ,>= 80 % to < 89 % ,> 0.1 to <= 0.15 ,> 9 % to <= 13 % ,>= 0 to < 0.545455 ,>= 82 to < 84 ,>= 90 to < 91 ,>= 88 to < 94 ,>= 86 % to < 88 % ,>= 88 % to < 89 % ,>= 86 % to < 88 % ,>= 47 % to < 61 % ,>= 79 % to < 82 %,,,,,,,,,,,,,,,,,,,,,,,,
PDP ,4star ,>= 89 % to < 97 % ,> 0.03 to <= 0.1 ,> 6 % to <= 9 % ,>= 0.545455 to < 0.80952 ,>= 84 to < 87 ,>= 91 to < 92 ,>= 94 to < 97 ,>= 88 % to < 90 % ,>= 89 % to < 91 % ,>= 88 % to < 90 % ,>= 61 % to < 74 % ,>= 82 % to < 84 %,,,,,,,,,,,,,,,,,,,,,,,,
PDP ,5star ,>= 97 % ,<= 0.03 ,<= 6 % ,>= 0.809524 ,>= 87 ,>= 92 ,>= 97 ,>= 90 % ,>= 91 % ,>= 90 % ,>= 74 % ,>= 84 %,,,,,,,,,,,,,,,,,,,,,,,,
