2022 Disenrollment Reasons View: Medicare Report Card Master Table,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,"Problems Getting Needed Care, Coverage, and Cost Information",Problems with Coverage of Doctors and Hospitals,Financial Reasons for Disenrollment,Problems with Prescription Drug Benefits and Coverage,Problems Getting Information and Help from the Plan
E0654 ,TEAMStar Medicare Part D Prescription Drug Program ,IBT VOLUNTARY EMPLOYEE BENEFITS TRUST ,IBT Voluntary Employee Benefits Trust ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
E3014 ,Pennsylvania Public School Employees Retirement Sy ,PSERS HOP PROGRAM ,Commonwealth of PA Pub Schools Retirement System ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
E4744 ,MISSOURI DEPARTMENT OF TRANSPORTATION ,MODOT/MSHP MEDICAL AND LIFE INSURANCE PLAN ,Missouri Highways and Transportation Commission ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
H0028 ,Humana ,"CHA HMO, INC. ",Humana Inc. ,23%,33%,19%,Not Available ,14%
H0029 ,Allwell ,"COORDINATED CARE OF WASHINGTON, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0034 ,"Hamaspik, Inc. ","HAMASPIK, INC. ","Hamaspik of Rockland County, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0062 ,Wellcare by Allwell ,"SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC. ",Centene Corporation ,24%,37%,18%,18%,17%
H0074 ,Wellcare ,"WELLCARE OF MISSISSIPPI, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0088 ,Wellcare ,"WELLCARE HEALTH INSURANCE OF NEW YORK, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0104 ,Blue Cross and Blue Shield of Alabama ,BLUE CROSS AND BLUE SHIELD OF ALABAMA ,BlueCross BlueShield of Alabama ,12%,9%,27%,Not Available ,8%
H0107 ,Blue Cross and Blue Shield of Montana ,HEALTH CARE SERVICE CORPORATION ,Health Care Service Corporation ,20%,19%,42%,11%,12%
H0111 ,Wellcare ,"WELLCARE OF GEORGIA, INC. ",Centene Corporation ,23%,31%,20%,Not Available ,16%
H0154 ,VIVA Medicare ,"VIVA HEALTH, INC. ","Triton Health Systems, L.L.C. ",12%,16%,20%,Not Available ,9%
H0169 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF THE MIDWEST, INC. ","UnitedHealth Group, Inc. ",10%,23%,15%,Not Available ,9%
H0174 ,Wellcare ,"WELLCARE OF TEXAS, INC. ",Centene Corporation ,31%,37%,17%,Not Available ,25%
H0251 ,UnitedHealthcare ,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC. ","UnitedHealth Group, Inc. ",13%,24%,12%,5%,6%
H0270 ,Wellcare ,WELLCARE HEALTH INSURANCE COMPANY OF AMERICA ,Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0271 ,UnitedHealthcare ,UnitedHealthcare Insurance Company of America ,"UnitedHealth Group, Inc. ",13%,10%,25%,Not Available ,13%
H0292 ,Humana ,"HUMANA HEALTH PLAN OF OHIO, INC. ",Humana Inc. ,15%,13%,24%,Not Available ,15%
H0294 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY ,"UnitedHealth Group, Inc. ",17%,22%,34%,Not Available ,14%
H0302 ,Blue Cross Blue Shield of Arizona Advantage ,"MEDISUN, INC. ",Blue Cross Blue Shield of Arizona ,10%,23%,26%,9%,9%
H0321 ,UnitedHealthcare ,"ARIZONA PHYSICIANS IPA, INC. ","UnitedHealth Group, Inc. ",17%,21%,12%,4%,9%
H0332 ,KelseyCare Advantage ,"KS PLAN ADMINISTRATORS, LLC ","Kelsey-Seybold Medical Group, PLLC ",14%,27%,25%,10%,15%
H0342 ,CarePartners of Connecticut ,"CAREPARTNERS OF CONNECTICUT, INC. ","Point32Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0351 ,Wellcare by Allwell ,"HEALTH NET OF ARIZONA, INC. ",Centene Corporation ,17%,30%,26%,16%,17%
H0354 ,Cigna ,"CIGNA HEALTHCARE OF ARIZONA, INC. ",CIGNA ,17%,31%,17%,7%,12%
H0363 ,Longevity Health Plan ,"LONGEVITY HEALTH PLAN OF COLORADO, INC. ","Longevity Health Founders, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0422 ,UCare ,"UCARE HEALTH, INC. ",UCare Minnesota ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0423 ,MetroPlus Health Plan ,"METROPLUS HEALTH PLAN, INC. ",New York City Health and Hospitals Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0432 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF ALABAMA, INC. ","UnitedHealth Group, Inc. ",17%,32%,20%,Not Available ,13%
H0439 ,Cigna ,"CIGNA HEALTHCARE OF GEORGIA, INC. ",CIGNA ,26%,23%,25%,Not Available ,15%
H0473 ,Humana ,HUMANA INSURANCE COMPANY OF KENTUCKY ,Humana Inc. ,14%,18%,23%,Not Available ,14%
H0482 ,Ascension Complete ,CENTENE VENTURE COMPANY MICHIGAN ,Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0504 ,Blue Shield of California ,CALIFORNIA PHYSICIANS' SERVICE ,California Physicians' Service ,15%,22%,19%,10%,11%
H0523 ,Aetna Medicare ,AETNA HEALTH OF CALIFORNIA INC. ,CVS Health Corporation ,11%,19%,15%,Not Available ,7%
H0524 ,Kaiser Permanente ,"KAISER FOUNDATION HP, INC. ","Kaiser Foundation Health Plan, Inc. ",20%,21%,28%,8%,16%
H0543 ,UnitedHealthcare ,UHC OF CALIFORNIA ,"UnitedHealth Group, Inc. ",18%,25%,27%,Not Available ,16%
H0544 ,Anthem Blue Cross ,BLUE CROSS OF CALIFORNIA ,Anthem Inc. ,27%,38%,21%,Not Available ,18%
H0545 ,Inter Valley Health Plan ,"INTER VALLEY HEALTH PLAN, INC. ",InterValley Health Plan ,15%,25%,10%,8%,9%
H0562 ,Wellcare by Health Net ,"HEALTH NET OF CALIFORNIA,INC. ",Centene Corporation ,13%,19%,22%,Not Available ,16%
H0571 ,Chinese Community Health Plan ,CHINESE COMMUNITY HEALTH PLAN ,Chinese Hospital Association ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0609 ,UnitedHealthcare ,"PACIFICARE OF COLORADO, INC. ","UnitedHealth Group, Inc. ",13%,25%,19%,7%,11%
H0624 ,UnitedHealthcare ,UNITEDHEALTHCARE INSURANCE COMPANY ,"UnitedHealth Group, Inc. ",19%,27%,24%,Not Available ,14%
H0628 ,Aetna Medicare ,AETNA HEALTH OF OHIO INC. ,CVS Health Corporation ,18%,14%,20%,Not Available ,11%
H0630 ,Kaiser Permanente ,KAISER FOUNDATION HP OF CO ,"Kaiser Foundation Health Plan, Inc. ",22%,24%,17%,7%,17%
H0645 ,Exemplar Health ,EXEMPLAR HEALTH INSURANCE COMPANY ,"Exemplar Health, INC. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0672 ,Cigna ,"CIGNA HEALTHCARE OF COLORADO, INC. ",CIGNA ,35%,40%,13%,Not Available ,21%
H0710 ,UnitedHealthcare ,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC. ","UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0712 ,Wellcare ,"WELLCARE OF CONNECTICUT, INC. ",Centene Corporation ,30%,42%,16%,Not Available ,18%
H0724 ,Wellcare by Allwell ,"BUCKEYE HEALTH PLAN COMMUNITY SOLUTIONS, Inc. ",Centene Corporation ,19%,33%,15%,Not Available ,17%
H0755 ,UnitedHealthcare ,"OXFORD HEALTH PLANS (CT), INC. ","UnitedHealth Group, Inc. ",12%,26%,21%,8%,6%
H0783 ,Humana ,"HUMANA BENEFIT PLAN OF TEXAS, INC. ",Humana Inc. ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0798 ,Medica ,MEDICA COMMUNITY HEALTH PLAN ,Medica Holding Company ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0826 ,Innovative Integrated Health Community Plans ,"INNOVATIVE INTEGRATED HEALTH COMMUNITY PLANS, INC. ","Innovative Integrated Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0838 ,Brand New Day ,"UNIVERSAL CARE, INC. ","Bright Health Group, Inc. ",17%,33%,18%,Not Available ,18%
H0876 ,Commonwealth Care Alliance ,"Commonwealth Care Alliance Rhode Island, LLC ","Commonwealth Care Alliance, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0885 ,Braven Health ,HEALTHIER NEW JERSEY INSURANCE COMPANY ,"NJ Collaborative Care, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0907 ,Amerigroup Iowa ,"AMERIGROUP IOWA, INC. ",Anthem Inc. ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0908 ,Wellcare by Allwell ,"BUCKEYE COMMUNITY HEALTH PLAN, INC. ",Centene Corporation ,Not Available ,26%,21%,19%,23%
H0913 ,Wellcare ,"WELLCARE HEALTH PLANS OF NEW JERSEY, INC. ",Centene Corporation ,29%,35%,25%,17%,22%
