2021 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC04,Doctors who Communicate Well - DMC05,Call Center – Beneficiary Hold Time - DMC06,Pneumonia Vaccine - DMC07,Access to Primary Care Doctor Visits - DMC08,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC09,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC10,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC11,Initiation of Alcohol or other Drug Treatment - DMC12,Engagement of Alcohol or other Drug Treatment - DMC13,Hospitalization for Potentially Preventable Complications - DMC14,Follow-up after Emergency Department Visit for Patients with Mulitple Chronic Conditions - DMC15,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC16,Transitions of Care - Notification of Inpatient Admission - DMC17,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC18,Transitions of Care - Receipt of Discharge Information - DMC19,Transitions of Care - Average - DMC20,Plan All-Cause Readmissions (18+) - DMC21,Plan All-Cause Readmissions (18-64) - DMC22,Plan All-Cause Readmissions (65+) - DMC23,Physical Functioning Activities of Daily Living - DMC24,Care of Older Adults - Functional Status - DMC25,Kidney Health Evaluation for Patients With Diabetes - DMC26,Improving or Maintaining Physical Health - DMC27,Improving or Maintaining Mental Health - DMC28,Cardiac Rehabiliation - Acheivement - DMC29,Cardiac Rehabiliation - Engagement 1 - DMC30,Cardiac Rehabiliation - Engagement 2 - DMC31,Cardiac Rehabilation - Initiation - DMC32,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD01,Call Center – Beneficiary Hold Time - DMD02,MPF – Stability - DMD03,Call Center – Pharmacy Hold Time - DMD04,Plan Submitted Higher Prices for Display on MPF - DMD05,Reminders to Fill Prescriptions - DMD06,Reminders to Take Medications - DMD07,Antipsychotic Use in Persons with Dementia - DMD08,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD09,Concurrent Use of Opioids and Benzodiazepines - DMD10,Use of Opioids at High Dosage in Persons Without Cancer - DMD11,Use of Opioids from Multiple Providers in Persons Without Cancer - DMD12,Polypharmacy: Use of Multiple Anticholinergic Medications in Older Adults - DMD13,Polypharmacy: Use of Multiple CNS-Active Medications in Older Adults - DMD14,Initial Opioid Prescribing (IOP-LD) - DMD15,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting the Plan to Provide and Pay for Needed Care (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
E0654,TEAMStar Medicare Part D Prescription Drug Program,IBT VOLUNTARY EMPLOYEE BENEFITS TRUST,IBT Voluntary Employee Benefits Trust,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,47%,22%,9%,7%,15.27%,5.95%,0.32%,7.50%,11.03%,7.45%,0.75,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,100
E3014,Pennsylvania Public School Employees Retirement Sy,PSERS HOP PROGRAM,Commonwealth of PA Pub Schools Retirement System,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,56%,22%,8%,11%,13.53%,3.75%,0.12%,6.46%,8.11%,13.11%,1.08,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,60
E4744,MISSOURI DEPARTMENT OF TRANSPORTATION,MODOT/MSHP MEDICAL AND LIFE INSURANCE PLAN,Missouri Highways and Transportation Commission,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,39%,19%,9%,9%,14.43%,2.92%,0.00%,10.19%,11.11%,7.58%,0.3,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,100
H0022,Buckeye Health Plan - MyCare Ohio,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Centene Corporation,74%,58%,95%,19%,No data available,0:08,51%,93%,4.94%,75%,86%,45%,11%,35%,63%,44%,0%,76%,0%,30%,14%,13%,16%,98%,Plan not required to report measure,33%,65%,79%,2%,4%,2%,2%,4.94%,0:08,103,0:12,97,48%,49%,8%,7%,17.37%,3.64%,0.83%,14.17%,22.18%,15.97%,0.32,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0028,Humana,"CHA HMO, INC.",Humana Inc.,50%,64%,88%,29%,No data available,0:18,69%,96%,1.50%,75%,82%,51%,6%,14%,68%,84%,12%,88%,9%,48%,12%,12%,12%,97%,93%,57%,65%,77%,3%,7%,6%,6%,1.50%,0:18,100,0:47,86,62%,27%,5%,7%,12.16%,5.46%,0.28%,8.15%,11.72%,19.64%,2.38,16%,18%,15%,Not Available,13%,100
H0029,Allwell,"COORDINATED CARE OF WASHINGTON, INC.",Centene Corporation,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,CMS found issues with plan's data,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan not required to report measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No Data Available,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0034,"Hamaspik, Inc.","HAMASPIK, INC.","Hamaspik of Rockland County, Inc.",Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,0:11,Plan too small to be measured,Plan too small to be measured,2.91%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,18%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,No data available,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,2.91%,0:11,100,0:03,77,Plan too new to be measured,Plan too new to be measured,10%,No data available,No data available,No data available,No data available,No data available,25.49%,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0062,Wellcare by Allwell,"SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.",Centene Corporation,Not enough data available,55%,Not enough data available,Not enough data available,No data available,2:53,52%,93%,6.25%,Not enough data available,Not enough data available,27%,2%,17%,62%,44%,13%,81%,7%,36%,12%,Not enough data available,11%,97%,Plan not required to report measure,33%,61%,81%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,6.25%,2:53,100,0:12,95,64%,48%,9%,No data available,16.31%,2.85%,0.00%,8.66%,9.63%,20.06%,7.54,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0074,Wellcare,"WELLCARE OF MISSISSIPPI, INC.",Centene Corporation,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,0:46,Plan too small to be measured,Plan too small to be measured,0.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,No data available,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0.00%,0:46,85,1:06,93,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,3.98%,17.51%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0088,Wellcare,"WELLCARE HEALTH INSURANCE OF NEW YORK, INC.",Centene Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,0:45,Plan too small to be measured,83%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,35%,19%,52%,11%,29%,Not enough data available,Not enough data available,Not enough data available,Plan too small to be measured,Plan not required to report measure,47%,Plan too small to be measured,Plan too small to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0.00%,0:45,98,1:06,94,No data available,No data available,0%,No data available,No data available,No data available,No data available,16.49%,6.52%,9.75%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
