,Contract Number,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,C Breast Cancer Screening,C Colorectal Cancer Screening,C Cardiovascular Care – Cholesterol Screening,C Diabetes Care – Cholesterol Screening,C Glaucoma Testing,C Annual Flu Vaccine,C Improving or Maintaining Physical Health,C Improving or Maintaining Mental Health,C Monitoring Physical Activity,C Adult BMI Assessment,C Care for Older Adults – Medication Review,C Care for Older Adults – Functional Status Assessment,C Care for Older Adults – Pain Screening,C Osteoporosis Management in Women who had a Fracture,C Diabetes Care – Eye Exam,C Diabetes Care – Kidney Disease Monitoring,C Diabetes Care – Blood Sugar Controlled,C Diabetes Care – Cholesterol Controlled,C Controlling Blood Pressure,C Rheumatoid Arthritis Management,C Improving Bladder Control,C Reducing the Risk of Falling,C Plan All-Cause Readmissions,C Getting Needed Care,C Getting Appointments and Care Quickly,C Customer Service,C Rating of Health Care Quality,C Rating of Health Plan,C Care Coordination,C Complaints about the Health Plan,C Beneficiary Access and Performance Problems,C Members Choosing to Leave the Plan,C Health Plan Quality Improvement,C Plan Makes Timely Decisions about Appeals,C Reviewing Appeals Decisions,C Call Center – Foreign Language Interpreter and TTY Availability,"HD1: Staying Healthy: Screenings, Tests and Vaccines",HD2: Managing Chronic (Long Term) Conditions,HD3: Member Experience with Health Plan,"HD4: Member Complaints, Problems Getting Services, and Improvement in the Health Plan's Performance",HD5: Health Plan Customer Service,SNP,Part C Summary,D Call Center – Foreign Language Interpreter and TTY Availability,D Appeals Auto–Forward,D Appeals Upheld,D Complaints about the Drug Plan,D Beneficiary Access and Performance Problems,D Members Choosing to Leave the Plan,D Drug Plan Quality Improvement,D Rating of Drug Plan,D Getting Needed Prescription Drugs,D MPF Price Accuracy,D High Risk Medication,D Diabetes Treatment,D Medication Adherence for Diabetes Medications ,D Medication Adherence for Hypertension (RAS antagonists) ,D Medication Adherence for Cholesterol (Statins) ,DD1: Drug Plan Customer Service,"DD2: Member Complaints, Problems Getting Services, and Improvement in the Drug Plan’s Performance ",DD3: Member Experience with the Drug Plan,DD4: Patient Safety and Accuracy of Drug Pricing,Part D Summary,C Special Needs Plan (SNP) Care Management,C Care for Older Adults – Pain Assessment,HD4: Member Complaints and Changes in the Health Plan's Performance,DD2: Member Complaints and Changes in the Drug Plan’s Performance,DD4: Drug Safety and Accuracy of Drug Pricing,D Medication Adherence for Diabetes Medications,D Medication Adherence for Hypertension (RAS antagonists),D Medication Adherence for Cholesterol (Statins),D MTM Program Completion Rate for CMR,C Medication Reconciliation Post-Discharge,C Statin Therapy for Patients with Cardiovascular Disease,D Statin Use in Persons with Diabetes (SUPD),C Controlling High Blood Pressure,C Transitions of Care,C Follow-up after Emergency Department Visit for People with Multiple High-Risk Chronic Conditions,Year,Overall
2,H0084,Local CCP,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,Care Improvement Plus,"UnitedHealth Group, Inc.",2.0,2.0,4.0,4.0,2.0,2.0,0.0,0.0,2.0,4.0,4.0,4.0,1.0,0.0,2.0,5.0,2.0,3.0,1.0,2.0,2.0,4.0,2.0,4.0,1.0,4.0,2.0,2.0,2.0,1.0,4.0,1.0,4.0,0.0,0.0,4.0,3.0,3.0,3.0,3.0,0.0,1.0,2.5,3.0,5.0,0.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3
3,H0104,Local CCP,BLUE CROSS AND BLUE SHIELD OF ALABAMA,Blue Advantage (PPO),BlueCross BlueShield of Alabama,3.0,4.0,5.0,4.0,2.0,3.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,3.0,4.0,3.0,3.0,3.0,5.0,3.0,2.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,1.0,1.0,4.0,3.0,3.0,4.0,5.0,2.0,0.0,3.5,1.0,2.0,2.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,2.0,2.0,4.0,4.0,3.0,2.0,5.0,5.0,3.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3
5,H0108,Local CCP,"HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.",Humana Inc.,3.0,3.0,5.0,4.0,2.0,3.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,2.0,3.0,5.0,3.0,4.0,4.0,3.0,2.0,3.0,4.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,5.0,2.0,4.0,5.0,0.0,5.0,3.0,3.0,2.0,3.0,5.0,0.0,3.0,5.0,3.0,0.0,1.0,5.0,2.0,3.0,3.0,2.0,4.0,5.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3.5
6,H0117,Local CCP,"WELLCARE OF OHIO, INC.",WellCare,"WellCare Health Plans, Inc.",3.0,4.0,4.0,4.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,0.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,1.0,2.0,1.0,3.0,2.0,4.0,1.0,4.0,5.0,5.0,4.0,3.0,3.0,2.0,3.0,5.0,1.0,3.0,5.0,1.0,0.0,2.0,4.0,1.0,3.0,2.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3
8,H0141,Local CCP,"MCLAREN HEALTH PLAN, INC.",McLarenAdvantage,McLaren Health Care Corporation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,4.0,3.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,False
11,H0150,Local CCP,"HEALTHSPRING OF ALABAMA, INC.",Cigna-HealthSpring,CIGNA,4.0,5.0,5.0,5.0,5.0,2.0,4.0,1.0,2.0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,1.0,4.0,1.0,4.0,0.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,5.0,3.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3.5
12,H0151,Local CCP,"UNITEDHEALTHCARE OF ALABAMA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",2.0,4.0,4.0,3.0,2.0,2.0,5.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,1.0,5.0,5.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,1.0,3.5,3.0,4.0,5.0,3.0,1.0,5.0,5.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3
13,H0154,Local CCP,"VIVA HEALTH, INC.",VIVA Medicare,UAB Health System,3.0,5.0,5.0,4.0,3.0,2.0,5.0,2.0,2.0,4.0,5.0,5.0,4.0,2.0,3.0,5.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,2.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,4.0,2.0,3.0,5.0,4.0,4.0,4.0,5.0,3.0,1.0,4.0,2.0,1.0,2.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3.5
15,H0248,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3.0,4.0,4.0,4.0,4.0,4.0,5.0,1.0,3.0,4.0,0.0,0.0,0.0,2.0,4.0,5.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,4.0,1.0,4.0,1.0,5.0,1.0,4.0,5.0,0.0,5.0,4.0,3.0,3.0,3.0,5.0,0.0,3.5,5.0,5.0,0.0,1.0,5.0,1.0,4.0,3.0,2.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3.5
16,H0251,Local CCP,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.",UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",2.0,2.0,2.0,4.0,2.0,1.0,5.0,2.0,1.0,3.0,4.0,1.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,1.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,1.0,4.0,5.0,2.0,1.0,5.0,2.0,3.0,4.0,3.0,3.0,1.0,3.0,5.0,2.0,4.0,3.0,1.0,4.0,3.0,5.0,5.0,4.0,1.0,2.0,1.0,1.0,2.0,4.0,3.0,5.0,2.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3
