NAME,state,Population Over 65,Year
Alabama,01,105655.0,2014
Alaska,02,17868.0,2014
Arizona,04,147144.0,2014
Arkansas,05,64914.0,2014
California,06,882861.0,2014
Colorado,08,111882.0,2014
Delaware,10,20623.0,2014
Connecticut,09,81079.0,2014
Florida,12,396346.0,2014
Georgia,13,232554.0,2014
Idaho,16,34111.0,2014
Hawaii,15,28701.0,2014
Illinois,17,280582.0,2014
Indiana,18,149307.0,2014
Iowa,19,71530.0,2014
Kansas,20,66797.0,2014
Kentucky,21,93602.0,2014
Louisiana,22,100567.0,2014
Maine,23,27218.0,2014
Maryland,24,126182.0,2014
Massachusetts,25,155687.0,2014
Michigan,26,228585.0,2014
Minnesota,27,111625.0,2014
Mississippi,28,71206.0,2014
Missouri,29,132590.0,2014
Montana,30,22285.0,2014
Nebraska,31,40881.0,2014
Nevada,32,53830.0,2014
New Hampshire,33,29669.0,2014
New Jersey,34,177543.0,2014
New Mexico,35,47140.0,2014
New York,36,439833.0,2014
North Carolina,37,223039.0,2014
North Dakota,38,19315.0,2014
Ohio,39,251599.0,2014
Oklahoma,40,85938.0,2014
Oregon,41,79339.0,2014
Pennsylvania,42,290476.0,2014
Rhode Island,44,27495.0,2014
South Carolina,45,111879.0,2014
South Dakota,46,19195.0,2014
Tennessee,47,137516.0,2014
Texas,48,603058.0,2014
Vermont,50,16668.0,2014
Utah,49,62858.0,2014
Virginia,51,185209.0,2014
Washington,53,143809.0,2014
West Virginia,54,38754.0,2014
Wisconsin,55,127487.0,2014
Wyoming,56,13098.0,2014
Mississippi,28,69812.0,2015
Missouri,29,131073.0,2015
Montana,30,22814.0,2015
Nebraska,31,41347.0,2015
Nevada,32,52589.0,2015
New Hampshire,33,29681.0,2015
New Jersey,34,177260.0,2015
New Mexico,35,46387.0,2015
New York,36,432039.0,2015
North Carolina,37,221247.0,2015
North Dakota,38,19817.0,2015
Ohio,39,248618.0,2015
Oklahoma,40,85768.0,2015
Oregon,41,78097.0,2015
Pennsylvania,42,284853.0,2015
Rhode Island,44,26785.0,2015
South Carolina,45,111250.0,2015
South Dakota,46,18694.0,2015
Tennessee,47,135959.0,2015
Texas,48,609096.0,2015
Vermont,50,16453.0,2015
Utah,49,63282.0,2015
Virginia,51,183584.0,2015
Washington,53,143096.0,2015
West Virginia,54,38254.0,2015
Wisconsin,55,125016.0,2015
Wyoming,56,13159.0,2015
Alabama,01,104599.0,2015
Alaska,02,18399.0,2015
Arizona,04,148394.0,2015
Arkansas,05,64289.0,2015
California,06,872649.0,2015
Colorado,08,112033.0,2015
Delaware,10,20200.0,2015
Connecticut,09,81723.0,2015
Florida,12,392338.0,2015
Georgia,13,230719.0,2015
Idaho,16,34254.0,2015
Hawaii,15,27953.0,2015
