Contract Number,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,C Breast Cancer Screening,C Colorectal Cancer Screening,C Cardiovascular Care – Cholesterol Screening,C Diabetes Care – Cholesterol Screening,C Glaucoma Testing,C Annual Flu Vaccine,C Improving or Maintaining Physical Health,C Improving or Maintaining Mental Health,C Monitoring Physical Activity,C Adult BMI Assessment,C Care for Older Adults – Medication Review,C Care for Older Adults – Functional Status Assessment,C Care for Older Adults – Pain Screening,C Osteoporosis Management in Women who had a Fracture,C Diabetes Care – Eye Exam,C Diabetes Care – Kidney Disease Monitoring,C Diabetes Care – Blood Sugar Controlled,C Diabetes Care – Cholesterol Controlled,C Controlling Blood Pressure,C Rheumatoid Arthritis Management,C Improving Bladder Control,C Reducing the Risk of Falling,C Plan All-Cause Readmissions,C Getting Needed Care,C Getting Appointments and Care Quickly,C Customer Service,C Rating of Health Care Quality,C Rating of Health Plan,C Care Coordination,C Complaints about the Health Plan,C Beneficiary Access and Performance Problems,C Members Choosing to Leave the Plan,C Health Plan Quality Improvement,C Plan Makes Timely Decisions about Appeals,C Reviewing Appeals Decisions,C Call Center – Foreign Language Interpreter and TTY Availability,"HD1: Staying Healthy: Screenings, Tests and Vaccines",HD2: Managing Chronic (Long Term) Conditions,HD3: Member Experience with Health Plan,"HD4: Member Complaints, Problems Getting Services, and Improvement in the Health Plan's Performance",HD5: Health Plan Customer Service,SNP_x,Part C Summary,Overall,D Call Center – Foreign Language Interpreter and TTY Availability,D Appeals Auto–Forward,D Appeals Upheld,D Complaints about the Drug Plan,D Beneficiary Access and Performance Problems,D Members Choosing to Leave the Plan,D Drug Plan Quality Improvement,D Rating of Drug Plan,D Getting Needed Prescription Drugs,D MPF Price Accuracy,D High Risk Medication,D Diabetes Treatment,D Medication Adherence for Diabetes Medications ,D Medication Adherence for Hypertension (RAS antagonists) ,D Medication Adherence for Cholesterol (Statins) ,DD1: Drug Plan Customer Service,"DD2: Member Complaints, Problems Getting Services, and Improvement in the Drug Plan’s Performance ",DD3: Member Experience with the Drug Plan,DD4: Patient Safety and Accuracy of Drug Pricing,SNP_y,Part D Summary,Year,2014 Part D Summary Rating,C Special Needs Plan (SNP) Care Management,C Care for Older Adults – Pain Assessment,HD4: Member Complaints and Changes in the Health Plan's Performance,DD2: Member Complaints and Changes in the Drug Plan’s Performance,DD4: Drug Safety and Accuracy of Drug Pricing,SNP,D Medication Adherence for Diabetes Medications,D Medication Adherence for Hypertension (RAS antagonists),D Medication Adherence for Cholesterol (Statins),D MTM Program Completion Rate for CMR,C Medication Reconciliation Post-Discharge,C Statin Therapy for Patients with Cardiovascular Disease,D Statin Use in Persons with Diabetes (SUPD),C Controlling High Blood Pressure,C Transitions of Care,C Follow-up after Emergency Department Visit for People with Multiple High-Risk Chronic Conditions
H0084,Local CCP,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,Care Improvement Plus,"UnitedHealth Group, Inc.",2,2,4,4,2,2,0,0,2,4,4,4,1,0,2,5,2,3,1,2,2,4,2,4,1,4,2,2,2,1,4,1,4,0,0,4,3,3,3,3,0,Yes,2.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,Yes,3,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0104,Local CCP,BLUE CROSS AND BLUE SHIELD OF ALABAMA,Blue Advantage (PPO),BlueCross BlueShield of Alabama,3,4,5,4,2,3,4,2,2,3,0,0,0,2,3,4,3,3,3,5,3,2,3,4,1,4,4,4,4,5,4,5,4,1,1,4,3,3,4,5,2,No,3.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,3,No,3.5,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0108,Local CCP,"HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.",Humana Inc.,3,3,5,4,2,3,0,0,3,4,0,0,0,2,3,5,3,4,4,3,2,3,4,1,2,3,1,2,2,1,5,2,4,5,0,5,3,3,2,3,5,No,3,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,4,No,3.5,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0117,Local CCP,"WELLCARE OF OHIO, INC.",WellCare,"WellCare Health Plans, Inc.",3,4,4,4,3,2,4,2,2,3,3,2,2,0,3,5,3,3,3,3,3,4,3,2,4,1,2,1,3,2,4,1,4,5,5,4,3,3,2,3,5,Yes,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,Yes,3,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0141,Local CCP,"MCLAREN HEALTH PLAN, INC.",McLarenAdvantage,McLaren Health Care Corporation,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Yes,3,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0150,Local CCP,"HEALTHSPRING OF ALABAMA, INC.",Cigna-HealthSpring,CIGNA,4,5,5,5,5,2,4,1,2,5,4,5,4,3,5,5,4,4,4,4,2,4,3,4,3,5,4,5,4,4,4,5,5,5,5,5,4,4,4,5,5,Yes,4,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,3,Yes,3.5,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0151,Local CCP,"UNITEDHEALTHCARE OF ALABAMA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",2,4,4,3,2,2,5,2,1,3,3,1,2,1,2,4,3,3,3,3,3,3,4,4,2,3,4,4,4,3,1,5,5,4,4,5,3,3,4,4,4,Yes,3.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,2,Yes,3,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0154,Local CCP,"VIVA HEALTH, INC.",VIVA Medicare,UAB Health System,3,5,5,4,3,2,5,2,2,4,5,5,4,2,3,5,3,4,4,4,2,4,3,4,2,5,4,5,3,5,4,5,4,2,3,5,4,4,4,5,3,Yes,4,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,2,Yes,3,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0248,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3,4,4,4,4,4,5,1,3,4,0,0,0,2,4,5,3,3,3,2,2,3,3,4,4,2,4,1,4,1,5,1,4,5,0,5,4,3,3,3,5,No,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,4,No,4,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0251,Local CCP,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.",UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",2,2,2,4,2,1,5,2,1,3,4,1,2,2,2,4,3,2,3,2,1,4,3,4,3,4,4,4,4,3,1,4,5,2,1,5,2,3,4,3,3,Yes,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,2,Yes,2.5,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0302,Local CCP,"MEDISUN, INC.",Blue Cross Blue Shield of Arizona Advantage,"Veritage, LLC",4,5,5,5,3,4,5,2,2,5,0,0,0,2,3,5,5,5,4,3,2,3,4,4,4,3,2,4,3,5,4,5,2,5,4,5,4,4,3,4,5,No,4,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,No,4.5,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0303,Local CCP,"PACIFICARE OF ARIZONA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,5,4,4,2,2,4,3,2,4,0,0,0,2,3,5,3,5,4,3,2,3,3,2,2,4,2,2,2,3,1,5,4,3,4,5,3,3,2,3,4,No,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,No,3.5,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0316,Local CCP,"UNITEDHEALTHCARE OF ARIZONA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,4,3,2,3,5,2,2,3,0,0,0,2,3,4,3,3,4,4,2,3,4,4,4,3,2,2,3,3,1,3,3,4,5,5,3,3,3,3,5,No,3,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,4,No,3.5,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0317,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3,3,4,4,3,3,4,2,2,4,0,0,0,2,3,4,3,4,3,4,2,1,3,4,4,3,2,2,2,2,5,2,3,5,2,5,3,3,3,3,4,No,3,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,5,No,4.5,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0318,Local CCP,"AETNA HEALTH, INC. (PA)",Aetna Medicare,Aetna Inc.,3,4,5,4,3,3,4,3,3,3,0,0,0,0,3,5,4,4,4,0,3,1,2,4,4,4,4,2,3,1,1,3,2,0,0,5,4,3,4,2,0,No,3,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,4,No,3.5,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0319,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",1,1,0,4,5,0,0,0,1,5,5,5,5,0,5,5,5,5,0,0,0,0,5,0,0,0,0,0,0,3,1,5,5,5,0,4,3,5,0,4,5,Yes,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,Yes,3.5,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0320,Local CCP,"WELLCARE OF TEXAS, INC.",WellCare,"WellCare Health Plans, Inc.",3,2,3,4,2,1,4,2,1,3,0,0,0,1,2,4,3,2,3,2,3,1,3,1,1,1,1,1,1,1,4,2,2,5,2,4,3,2,1,2,4,No,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,No,3,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0321,Local CCP,"ARIZONA PHYSICIANS IPA, INC.",UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",2,3,4,4,2,2,5,2,2,4,2,1,3,2,4,4,3,3,3,3,2,4,3,4,2,3,4,5,3,3,1,5,4,5,1,5,3,3,4,3,4,Yes,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,Yes,3,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0332,Local CCP,"KS PLAN ADMINISTRATORS, LLC",KelseyCare Advantage,"Kelsey-Seybold Medical Group, PLLC",5,5,5,5,5,5,5,1,5,5,0,0,0,3,5,5,5,5,4,4,3,4,4,5,5,5,5,5,5,5,4,4,4,5,4,5,5,4,5,4,5,No,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,No,4.5,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0351,Local CCP,"HEALTH NET OF ARIZONA, INC.","Health Net of Arizona, Inc.","Health Net, Inc.",3,4,4,4,2,4,4,2,2,4,5,4,4,2,4,5,4,5,4,3,3,4,3,4,4,3,4,2,3,3,4,3,2,4,2,4,3,4,3,3,3,Yes,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,Yes,3.5,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0354,Local CCP,"CIGNA HEALTHCARE OF ARIZONA, INC.",Cigna HealthCare of Arizona,CIGNA,5,5,5,5,4,4,5,1,2,5,5,4,5,3,5,5,5,5,5,4,3,3,3,4,4,4,4,5,4,3,4,5,5,5,5,4,4,4,4,4,5,Yes,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,4,Yes,4,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0408,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,0,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0423,Local CCP,"METROPLUS HEALTH PLAN, INC.",MetroPlus Health Plan,New York City Health and Hospitals Corporation,5,5,5,4,4,3,5,2,3,4,3,3,3,0,5,5,3,3,4,3,3,4,2,2,1,1,2,2,2,3,1,2,5,5,5,4,4,3,2,3,5,Yes,3.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,Yes,3,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0490,Local CCP,"MOLINA HEALTHCARE OF OHIO, INC.",Molina Healthcare of Ohio,"Molina Healthcare, Inc.,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Yes,3,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0502,1876 Cost,THE CONTRA COSTA HEALTH PLAN,Contra Costa Health Plan,Contra Costa Health Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0504,Local CCP,CALIFORNIA PHYSICIANS' SERVICE,Blue Shield of California,California Physicians' Service,4,5,5,4,2,4,4,1,2,4,0,0,0,2,5,5,5,5,4,3,1,3,4,3,2,3,4,4,3,3,4,5,4,5,4,4,4,4,3,4,4,No,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,4,No,4,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0523,Local CCP,AETNA HEALTH OF CALIFORNIA INC.,Aetna Medicare,Aetna Inc.,4,5,5,4,2,4,4,2,3,3,0,0,0,2,4,5,3,3,3,3,3,4,5,2,2,4,4,4,2,3,1,4,2,4,4,5,4,4,3,3,4,No,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,4,No,3.5,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0524,Local CCP,"KAISER FOUNDATION HP, INC.",Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",5,5,5,5,5,5,5,1,4,5,5,5,4,5,5,5,5,5,5,5,3,5,3,4,5,4,5,5,4,5,4,5,4,5,3,5,5,5,5,5,4,Yes,4.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,5,Yes,5,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0543,Local CCP,"UHC OF CALIFORNIA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,5,5,5,3,4,4,2,2,3,0,0,0,2,4,5,4,5,3,3,2,3,4,4,4,3,2,4,3,3,1,5,4,4,4,5,4,4,3,3,4,No,3.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,No,4,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0544,Local CCP,CAREMORE HEALTH PLAN,CareMore Health Plan,"WellPoint, Inc.",4,5,5,4,5,4,4,2,3,5,4,4,4,3,4,5,5,4,5,2,2,4,5,2,2,4,2,4,1,3,2,5,4,5,4,4,4,4,3,4,4,Yes,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,4,Yes,3.5,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
